P52824	A0A0B4KHZ4
P61009	Q9VCA9
Q9Y284	Q9VRJ8
Q8WV74	Q9VY79
Q969H0	Q9VZF4
P49005	Q9W088
Q9Y2Z4	Q9W107
Q9Y285	Q9W3J5
Q9BRT2	A0A6H2EGA2
Q674X7	A8DYM0
Q9Y2H2	Q0KI33
Q8N9W6	Q24207
P11831	Q24535
Q9Y320	Q7JW12
P37198	Q7JXF5
P32780	Q960E8
Q9NZJ6	Q9VIF3
A6H8Y1	Q9VJZ3
Q9H1K0	Q9VLS5
Q9Y5Y5	Q9VPB9
O43396	Q9VRP3
Q8TB96	Q9VUQ7
Q8IZ69	Q9VVV7
Q9NWS8	Q9VXQ8
Q8TC29	Q9VZZ8
P08397	Q9W0G4
P62072	Q9W2D6
Q9Y3A2	Q9W3C0
Q9UQ90	Q9W4W8
P61978	A1ZBW0
P53618	P45437
O00178	Q0E931
Q14696	Q8T9B6
O75940	Q95RI7
Q13126	Q9V813
Q6ZVK1	Q9VCF1
Q96J01	Q9VHT2
P40937	Q9VKW3
Q9H7H0	Q9VL60
Q9UDR5	Q9VLX0
P10515	Q9VM14
P30038	Q9VNX4
Q9BSD7	Q9VP84
P48651	Q9VPD3
P53990	Q9VRY6
P62906	Q9VTP4
Q9Y2M5	Q9VUU5
Q7Z2Z2	Q9VV61
Q9H3S5	Q9W2E4
Q9NX20	Q9W547
Q9H089	Q9W590
Q8NCE2	A1ZAS8
Q6ZYL4	B7Z018
P00966	O97069
Q12788	Q7JQT9
Q86TS9	Q7JWG9
Q96I59	Q7JZR5
Q96DC8	Q7K1C3
Q9H875	Q7K1V1
Q9UJ83	Q7K3B7
P53396	Q7KN85
O95428	Q868Z9
O43818	Q8MSW9
Q8N137	Q9I7U5
Q9UKF6	Q9VE51
Q6NVV7	Q9VHN3
Q92947	Q9VMC6
Q96CM8	Q9VMR6
Q9BUU2	Q9VP86
Q5JR59	Q9VQM0
Q6P9G0	Q9VQY5
O95476	Q9VRG7
Q9Y5M8	Q9VSN9
Q92833	Q9VT00
A2VEC9	Q9VU94
A0JLT2	Q9VVL6
Q8IW45	Q9VVW8
Q9H7L9	Q9VWG2
Q9Y314	Q9VWV8
Q969J3	Q9VYT1
O75344	Q9W1I9
Q9ULK4	Q9W1X7
Q9H0A0	Q9W3C1
Q96AA3	Q9Y123
Q76MJ5	A8JR46
O76095	O96067
Q12834	Q24044
Q92685	Q27333
O60306	Q7KSN8
P62952	Q9V3L0
Q9Y3D3	Q9V6Y3
Q15477	Q9VCH8
O75787	Q9VHG4
Q5T3U5	Q9VLP5
Q96CB9	Q9VPX3
Q96IX5	Q9VR92
Q9UHB4	Q9VSJ5
Q9Y4C8	Q9VT19
Q5JVF3	Q9VTL1
Q7Z6L1	Q9VWB0
Q9NZ32	Q9VWE8
P19404	Q9VX36
P60604	Q9VXE8
P17735	Q9VY42
Q9UJX6	Q9W1E5
O15091	Q9W413
O14579	Q9Y0Y5
Q6UXV0	A0A0B4K7J4
Q6P2Q9	A1Z8U0
Q96B42	A1Z903
Q92738	A1Z9K4
Q8NAT2	A1Z9P1
Q8IZF0	A8JUW5
Q9NTX7	B7Z078
P61244	P91664
Q5U3C3	Q7JRB2
Q96FM1	Q7K0P4
Q6ZN18	Q7KHG2
Q8IYI6	Q7KRZ3
Q96RG2	Q95SH0
Q9BWJ5	Q9VHI4
O00399	Q9VIZ1
Q9UL45	Q9VTM0
Q9H6K1	Q9VX56
Q9NUT2	Q9VYL5
Q96CX6	Q9W2U2
Q16531	Q9XYZ5
Q5BJF6	R9PY49
Q9NRD5	X2JDZ1
Q9BSL1	A0A0B4KFW5
Q99766	A1ZAA9
Q13873	M9PE88
Q9NPH2	O97477
P22102	P00967
Q14774	P10035
P26196	P23128
O43913	Q24169
Q6ZVE7	Q59E43
O95178	Q7PL91
Q5VU57	Q8IMH9
Q9NZE8	Q8MS27
Q7Z6M4	Q8SXK0
Q5T3I0	Q9V9Z8
O43684	Q9VAJ2
O43633	Q9VBI3
Q9Y3T9	Q9VIF0
P78549	Q9VIH0
Q8TAE8	Q9VP13
O14972	Q9VPC3
O60934	Q9VT40
Q96MD7	Q9VX62
Q92733	Q9W0B6
Q96Q07	Q9W2S3
Q9Y2Q9	A1ZBA5
Q9Y2Y1	A1ZBX4
Q8IW19	A8JR14
Q9UIC8	M9NF32
P07741	P12426
Q9BZJ0	P17886
Q9Y5Q9	Q7JVW5
Q3KNS1	Q86P36
Q8N4J0	Q9I7X6
O95470	Q9V7Y2
Q9UM13	Q9V831
Q8WUD4	Q9VAC7
Q8N3J2	Q9VER8
Q8IXQ4	Q9VFF2
O95163	Q9VGK7
Q9H269	Q9VHG1
Q9Y5Q8	Q9VIZ2
Q9BQ83	Q9VN41
P78346	Q9VPM0
Q8N6M3	Q9VRJ2
O94761	Q9VSE6
Q9NZZ3	Q9VVI9
Q9NWU5	Q9VXB5
Q9BX73	Q9VY86
Q5VZE5	Q9W1A2
Q75T13	Q9W495
Q8WUU5	Q9W5E2
Q9UDW1	Q9XY35
Q5VT52	X2JAA3
P0C6T2	A1Z7U3
Q15649	A1ZA28
Q9UQ35	A8JNI2
Q8IYT3	M9NDT0
Q96D46	O46050
P62258	P92177
O15040	Q6NLL1
Q9UBU6	Q7JXC6
P13804	Q7KN94
P49773	Q8STA5
Q86TM6	Q95SP2
Q8WYQ5	Q9V9V7
Q6P3W7	Q9VAR0
Q86U28	Q9VC65
Q9NVP1	Q9VD51
Q53HV7	Q9VEM1
O00422	Q9VEX9
Q9NVH0	Q9VGN7
P61758	Q9VGP6
P36957	Q9VGQ1
Q8WYA6	Q9VHJ7
Q8NAG6	Q9VIE0
Q96S19	Q9VLF6
Q96RP9	Q9VM33
Q9UI09	Q9VQD7
Q99816	Q9VVA7
Q76FK4	Q9VWD4
Q99972	Q9VWZ7
P53370	Q9VXR9
O60888	Q9VY55
Q9NVR2	Q9VZM7
O60906	Q9VZS6
Q9H1Y0	Q9W3R7
Q9HC07	E1JIL1
O75943	O96532
P35269	Q05913
Q96QS3	Q06453
Q8IV36	Q0E9B5
P00540	Q1EC11
Q587I9	Q6II06
Q15369	Q7JWD6
Q16134	Q7JWF1
Q14257	Q7K1W8
P48643	Q7KKI0
O00764	Q7KUC2
Q9BUB7	Q95SS8
Q01415	Q95U34
O60318	Q9U3V9
P57088	Q9V447
Q9BXP5	Q9V9K7
P14625	Q9VAY2
Q9NP58	Q9VF20
Q9BZE1	Q9VGW9
Q9Y3B4	Q9VRV7
Q9BWH6	Q9VTX1
Q8IYE1	Q9VV90
Q9H237	Q9VWV9
P09001	Q9VXQ0
Q9UG63	Q9VXR5
Q7Z5W3	Q9VZD2
Q0VGL1	Q9VZL6
Q9BWD1	Q9W0H6
Q92905	Q9XZ58
Q9NRC6	A8JNJ6
P14384	B7Z0Z5
P57737	D6W4T8
Q8NI27	E2QCS8
O75417	O18475
Q3C1V8	Q04787
Q6GMR7	Q7K2E1
P43034	Q7KNS3
Q8TDY2	Q7KTS2
Q9UBP0	Q8I0P1
Q9H910	Q9I7K0
O95402	Q9V4F9
Q92917	Q9VES0
Q6ZUS6	Q9VF72
Q9P0S2	Q9VF98
Q8IVL1	Q9VIQ9
Q9UNL2	Q9VL69
Q8WVT3	Q9VPB6
Q96E22	Q9VPX8
Q16718	Q9VTB4
Q9Y2R4	Q9VVK8
A7E2V4	Q9VWN9
Q8NE71	Q9VYW4
O14907	Q9W0P4
Q12830	Q9W0T1
O95218	Q9W230
P10155	Q9W4R7
Q6P4R8	Q9Y0Z1
Q9Y5N6	Q9Y1B2
Q96H35	X2JBU2
Q9H0A8	A8E6W0
Q5T013	P36951
Q9BRX2	P48612
Q9NVR5	Q0E9G3
Q8TAF3	Q1LZ08
Q8TB22	Q5BIA9
Q8WU90	Q7JWR9
Q9NYG5	Q7KA43
Q8IY18	Q8IPT2
Q8TDD1	Q8SY39
Q9BQ67	Q8SYL1
Q9Y570	Q95R98
Q8N543	Q9I7H9
P62917	Q9V3G1
Q9NPE3	Q9V5P6
Q6YN16	Q9VB10
Q969E8	Q9VBI0
O43824	Q9VBQ7
Q8NA54	Q9VD15
Q9H7E9	Q9VE11
Q9P0P0	Q9VE61
P42785	Q9VIM0
Q5QJU3	Q9VIP7
O60762	Q9VIU7
Q13084	Q9VMX0
Q9Y2T3	Q9VMY9
O00623	Q9VPT5
Q96I51	Q9VPU0
O43678	Q9VR00
O94822	Q9VW09
Q9H1A4	Q9VXV3
Q9Y3C6	Q9W0Q2
Q9NP72	Q9W4A0
Q6XPR3	X2JF48
Q6AZZ1	A0A4D6K4B0
P26373	P41126
Q96B77	Q059A4
Q9BVA0	Q0KHS0
Q9UBV8	Q7K2L7
Q02040	Q7KTT0
P28066	Q95083
O75909	Q961D1
O60673	Q9GSR1
Q8IWT0	Q9VD92
Q6ZVK8	Q9VGM4
Q99832	Q9VHL2
Q7Z3J2	Q9VHM2
Q9Y244	Q9VIJ5
Q9Y6M9	Q9VJZ4
Q8WYR4	Q9VK29
Q8IZQ1	Q9VML2
Q8IZJ6	Q9VPE8
O95639	Q9VPT8
Q12767	Q9VQZ1
O00628	Q9VSN7
Q9NZ43	Q9VSU7
P61165	Q9VVA8
Q8N3Z6	Q9VVA9
Q8NBS9	Q9VYV3
Q8N371	Q9W0M3
Q86UK7	Q9W149
Q8TB73	Q9W192
Q9UJX5	Q9W395
P08195	A0A0B4KGE4
Q8N136	A0A0B4KI55
Q9H814	A1Z7P3
Q9H3K6	A1Z933
Q9BWL3	A1ZAM0
P49770	O76863
P08621	P17133
P23526	Q27580
Q9Y5U8	Q7KSC4
Q9NY12	Q7KVQ0
Q8N9N8	Q8IQ13
Q9H3S4	Q8T4A5
Q96JB2	Q961G1
P53701	Q9VD55
Q8NFH3	Q9VE85
P04424	Q9VLG9
P59998	Q9VMH2
Q9P1Y6	Q9VNE0
Q5J8M3	Q9VNQ3
Q9BZG8	Q9VTM2
Q6P988	Q9VUX3
Q13098	Q9VVU5
Q9H8Y8	Q9VW57
P82663	Q9VY28
Q8IZQ5	Q9VYB0
Q9BPX7	Q9W0M6
Q96DN5	Q9W0Z4
Q96QT6	Q9W410
P62877	Q9W5E1
Q4G0N4	A0A0B4KEG0
Q12797	A0A0B4KFS5
O15234	A0A0B4KH64
O96017	O61267
Q86X76	O76464
P17987	P12613
Q9NRX4	P20348
O76071	Q7K1Y4
A0A8Q3SIG1	Q7KTG2
Q00059	Q86BR8
Q9UGQ2	Q95T12
Q14139	Q9U4F8
Q8WVL7	Q9V3Y0
Q9H095	Q9VB28
Q96CB8	Q9VBB3
O96007	Q9VBX2
Q9UPY3	Q9VCU9
Q8IYD8	Q9VDA0
Q9NVH6	Q9VDM7
Q8IWE5	Q9VGI1
Q9Y366	Q9VMC0
P49821	Q9VMI3
Q96DI7	Q9VPL0
Q9P003	Q9VQL3
P32321	Q9VWA2
P50213	Q9VWH4
P49917	Q9VYA5
Q9Y6G5	Q9VYV9
Q9NW82	Q9W1J3
Q96NT3	Q9W4Y0
Q5HYA8	A0A0B4KGJ7
Q8TDP1	A1ZAW6
Q8IXL6	A4VCL2
P49368	P48605
Q9BV57	Q6AWN0
Q9BSY9	Q7K2B1
Q9C0E8	Q7K2N0
Q86W50	Q7K3B9
Q5T7V8	Q8IQQ4
Q9UEE9	Q8SXI2
P83876	Q8SZ87
P47972	Q9V3N9
Q5VYK3	Q9V677
Q9Y2Q5	Q9V8I2
Q9BZL1	Q9V998
Q9H446	Q9VCB9
Q15637	Q9VEJ1
Q86SQ7	Q9VF13
O43934	Q9VG64
P82979	Q9VHC8
O75880	Q9VMX4
Q9BSU1	Q9VSH9
Q9UHB9	Q9VSS2
Q03701	Q9VTE6
Q9BYW2	Q9VYD1
O43660	Q9VYQ9
Q9UBZ9	Q9W0P2
Q14919	Q9W2E3
Q92624	Q9W3Y7
P46777	Q9W5R8
Q9H0F7	A1ZBK9
A8MTT3	B7YZZ0
Q5TF21	M9PCE3
O43681	Q7JWD3
Q7L5A8	Q8SXY2
A4D1E9	Q9I7M2
Q9P013	Q9V3B6
O00232	Q9V3Z4
Q9BRJ2	Q9VCX3
Q16533	Q9VF25
Q99643	Q9VGS3
Q6DHV7	Q9VHH7
O43148	Q9VJQ4
Q5T2S8	Q9VM21
P55196	Q9VN82
Q15042	Q9VQ26
Q6P1Q0	Q9VSM4
Q9H1N7	Q9VVD9
Q8N983	Q9W1L1
Q96FZ7	Q9W236
O14775	Q9W3J1
Q13952	Q9W3V9
P11717	A0A0B4KH68
Q676U5	B7Z0R7
Q9P202	M9PF56
P30040	O44342
Q9Y2W2	O76861
P29084	O96881
Q03393	P48611
P06576	Q05825
Q8N0Z8	Q0E8K6
Q96J42	Q7JXE1
Q9H6W3	Q7K4H4
O60260	Q7KTX7
O75762	Q7Z020
Q9Y3C7	Q8IH24
O00487	Q9V3H2
P62081	Q9VA91
Q8WUM0	Q9VCW3
Q15041	Q9VES1
P19623	Q9VHA1
Q9P2Y5	Q9VK07
Q9Y263	Q9VPY2
P61081	Q9VSF3
Q9ULV3	Q9VT61
Q96RT7	Q9VTS3
Q96EV8	Q9VVT5
Q9H4B0	Q9VWD6
Q9BRJ6	Q9W019
A6NNA5	A0AVV3
P84243	C0HL66
Q9BT04	O16868
Q86TP1	O18399
P18206	O46037
Q04837	P54622
P17707	P91931
Q9UL63	Q0E9A5
Q96HJ9	Q0KI97
Q92968	Q7JRD4
Q96BW9	Q8INF2
Q15645	Q8SX76
Q9UI12	Q9V3J1
P42858	Q9V3N4
Q9Y5S9	Q9V535
Q15311	Q9VDG2
Q9BUL8	Q9VF70
Q15003	Q9VIP9
P62314	Q9VU02
Q9C0G6	Q9VWZ3
Q5JTH9	Q9VYA7
Q9H553	Q9VZU8
Q8N8U9	Q9W2H2
Q9NRG9	Q9W351
Q9HAE3	Q9W3K8
O75438	Q9W3N7
Q15813	A1Z6J5
Q6ZSS7	A1Z9U2
Q5GH73	M9PHA4
P43246	P43248
P32969	P50882
P53803	Q6IGE3
Q6PI78	Q8SYF7
Q8TBA6	Q8SZ63
Q9NRC8	Q9VAQ1
P78383	Q9VDD7
A4D1P6	Q9VE12
P62487	Q9VFB5
Q8N8R3	Q9VKZ5
P54802	Q9VLL5
Q9UER7	Q9VMD0
Q9Y3E7	Q9VN02
Q7Z589	Q9VQ58
Q6NUQ1	Q9VS46
Q6QNY1	Q9VTE0
Q13405	Q9VYI3
O15042	Q9W2N6
Q8N9N7	Q9W3T9
P18621	Q9W3W8
Q9UKY4	Q9W5D4
P53611	Q9XZ68
Q2LD37	X2JA38
Q5VZ66	A0A0B4JDD0
O75955	O61491
P16455	O76339
P29083	O96880
Q14203	P13496
P62380	Q07DP5
Q05586	Q24418
Q9NXN4	Q7JUR6
Q9Y5P6	Q7JZB4
Q9Y3A3	Q7K0E3
Q9Y3C8	Q7K1Z5
Q2TAC6	Q7KSK2
Q6ZP65	Q8SWR2
P52758	Q9V3W0
Q86UY6	Q9VAI4
Q14690	Q9VC94
Q13042	Q9VCN6
Q9NQ55	Q9VDE5
Q7L592	Q9VGR2
Q2VPK5	Q9VIV3
Q8WV22	Q9VMA0
Q96GC5	Q9VQ35
Q8NCU4	Q9VQL0
Q86VN1	Q9VU87
Q6ZW49	Q9VUB7
P54577	Q9VV60
Q9Y5J7	Q9VYD7
Q14691	Q9W0I7
Q15393	Q9W0M7
Q8WYB5	Q9W1A9
Q15131	A1Z840
Q96B02	A1Z8B5
Q15019	P42207
Q99835	P91682
P25963	Q03017
Q8IXH7	Q24134
Q9BZE9	Q6NL44
Q9Y2B0	Q7JXF7
P51809	Q7JYX5
Q8WU17	Q7KRW1
Q14145	Q7KSF5
Q9BV87	Q7PLT1
Q86TN4	Q86BH3
Q8NHG7	Q8IQC6
Q6I9Y2	Q8IRJ8
Q8N1S5	Q8SWW2
Q8NBL1	Q8T045
P08240	Q9U5L1
Q9UKG9	Q9VB02
Q8N3C0	Q9VF56
Q8TDR0	Q9VFL0
Q9UKV3	Q9VJ12
Q9Y2X3	Q9VM69
P10606	Q9VMB9
Q9BS91	Q9VMU8
P28070	Q9VNA5
Q9UQ10	Q9VQB4
Q9Y421	Q9VQZ5
Q9BYT1	Q9VQZ7
P35520	Q9VRD9
Q96MX6	Q9VVM7
O43181	Q9VWI0
Q9H040	Q9VXU6
P11182	Q9VXY3
Q5HYK3	Q9VYF8
Q13724	Q9VZ04
Q15070	Q9Y171
Q9BV94	M9PG98
O15260	O18405
Q9H501	O46307
Q8WY36	O61348
P24928	P04052
P46776	P41092
P62424	P46223
Q9Y3U8	P49630
P35250	P53034
Q96MT7	Q0E8T7
Q9BXM7	Q0KHV6
Q96EX1	Q6IGN6
Q9H211	Q7JVY2
Q7RTS9	Q7KNA0
Q13472	Q9NG98
P78536	Q9VAC5
O75937	Q9VCH9
Q01780	Q9VFF3
Q96CN9	Q9VGR1
Q9GZT4	Q9VHF0
Q2M296	Q9VN21
Q9BXJ7	Q9VPN2
Q96DM3	Q9VRX1
Q8N6T3	Q9VTX5
Q12768	Q9VUY8
P43119	Q9VVJ1
Q6YHU6	Q9VWB9
P30050	Q9W1B9
P78406	Q9W2E7
P52788	X2JGL7
Q8IY31	A1Z6F0
Q9UI14	A1Z823
Q8N1F8	M9PCP3
Q96HS1	O46084
Q9NQI0	P09052
P15104	P20478
Q8TF76	P83103
P28331	Q94511
Q9BTE0	Q9V9V9
Q6P9B6	Q9VM22
Q7Z4H3	Q9VMB3
P52815	Q9VSR5
Q9GZN7	Q9VVE2
P49815	Q9VW83
O95922	Q9VZ97
Q8WUR7	Q9VZT2
Q9Y2X0	Q9W278
Q86X10	X2JEC6
Q9BUK6	O01939
P09884	P26019
O14829	P40421
Q86VR8	P54360
P50613	Q24216
P28715	Q4U2Q5
Q8WXC6	Q7JVR7
P43304	Q7K569
Q86UA1	Q7KRW8
Q96RY7	Q7KTZ4
Q9P2R3	Q7PLP5
Q9UBI9	Q9N2M8
Q9BRD0	Q9VC60
P30566	Q9VEP6
Q9Y2Z0	Q9VHT3
Q2TAA5	Q9VP06
Q4AC94	Q9VPD7
O00411	Q9VPW4
Q9H2X3	Q9VQ53
Q9H611	Q9VQR3
Q6NSI8	Q9VT34
P51659	Q9VXJ0
Q5VTL8	Q9VYE9
O95600	Q9W1W2
P62847	Q9W229
Q9Y5W5	Q9W3W5
P55060	Q9XZU1
O75771	A1Z7R8
Q96BK5	A1ZBW6
Q02575	M9PH26
P35222	P18824
P04843	Q76NQ0
Q5VV42	Q7K4W1
P09172	Q86B61
Q9H3H1	Q8IMV0
Q68DH5	Q8MRQ4
Q15029	Q9VAX8
Q92574	Q9VCC9
P09234	Q9VE17
O15392	Q9VEM2
Q9BQC3	Q9VFE9
O75616	Q9VG07
Q9UBS9	Q9VIK7
Q14669	Q9VN58
Q6P2C8	Q9VNG0
O00584	Q9VSC3
P78330	Q9VSY6
O75600	Q9VTN9
Q9UHK0	Q9VVS5
Q86X95	Q9VVU4
Q8NDZ4	Q9W280
Q9NYJ1	A0A0B4KFX0
P54105	A1ZAW5
O60869	M9PFR6
Q9UBP6	O77263
P19387	O97183
P53609	Q24173
P08243	Q7KTW9
O94782	Q8I077
Q9Y234	Q8SX78
Q9H6Y2	Q8T088
O15372	Q9U9Q4
Q9NQ89	Q9VAU6
Q70CQ2	Q9VC56
Q6GMV3	Q9VET3
Q9NQR1	Q9VFK6
Q96G28	Q9VFS4
P54132	Q9VGI8
O43709	Q9VHW6
Q8WU10	Q9VIP2
P40925	Q9VKX2
Q12887	Q9VKZ1
Q9NWU1	Q9VNF5
Q5VVQ6	Q9VRJ9
Q7Z3E2	Q9VV40
Q2T9J0	Q9W106
P62333	Q9W414
Q9NRJ4	A0A0B4KI44
P56192	A1ZBE9
O75340	A8Y589
P61019	O18333
Q7LGA3	P25722
Q06330	P28159
P99999	P84029
P62280	Q0E9B6
Q9H2H8	Q8MKJ6
Q9H467	Q95T08
Q9GZZ1	Q9NHD5
A5PLL7	Q9V3B5
P43686	Q9V405
Q969S9	Q9VCX4
O95159	Q9VD26
Q96DM1	Q9VHL1
Q9BY12	Q9VJ35
Q6IPR1	Q9VJG4
O00238	Q9VMT1
Q6Y2X3	Q9VN28
Q9NVU0	Q9VP85
Q9NVG8	Q9VSM8
Q12980	Q9VUB4
O43933	Q9VUC7
O95447	Q9VVD0
Q14CW9	Q9VVR6
Q8TBQ9	Q9VWH8
Q14147	Q9VWI5
Q96AJ9	Q9W0N6
Q6UWH6	Q9W1R8
Q9C0C9	Q9XZ32
Q9Y5J6	Q9Y0V3
Q9NZM4	A0A0B4KI51
P51946	O76513
P56385	O77134
Q14204	P37276
P62913	P46222
Q9HCI7	P50534
P49023	Q2PDT4
O15379	Q7KTS4
Q9NQC7	Q8IPC5
Q9NRK6	Q8SWW9
O14735	Q8SX37
P49419	Q8SXQ1
Q8IWE4	Q8T8S1
Q8WTR2	Q9NGL1
Q99460	Q9V3P6
Q96HY7	Q9VA02
Q96RJ6	Q9VGJ5
Q15771	Q9VM50
Q96PM5	Q9VMD4
Q13601	Q9VPU8
Q8N8Q8	Q9VST8
Q96KB5	Q9VX24
O75096	Q9VXM0
Q5TKA1	Q9W542
Q96BR5	Q9W5N0
P49720	Q9XYN7
P47897	Q9Y105
Q9P2N6	A0A0B4KF25
Q8N6S4	A0A0B4KFB5
Q96B45	A1ZBV5
Q9BXS5	O62531
Q9H1I8	O76912
P14735	P22817
Q9P253	Q24314
Q9NUG6	Q4QQ01
Q8WUK0	Q86BN8
O95571	Q86PD3
Q5JSH3	Q8IMK1
Q8N6L1	Q8INQ7
Q9H270	Q8SX81
Q92643	Q8T4E1
P26641	Q9NJH0
Q9UKB3	Q9TVP3
Q9BT78	Q9V345
Q9Y5Z9	Q9V3R8
Q9ULG1	Q9VDY1
Q9H4G4	Q9VI35
Q96HA7	Q9VSA4
Q7Z4W1	Q9VWP2
Q8N1G2	Q9W4N2
Q7Z7A4	A1Z782
P78537	A1Z9S1
Q2QL34	A8JNT1
Q96I45	E1JIX4
P35270	O76752
Q16864	Q24583
Q06609	Q27297
O75478	Q7KSD8
Q96KP4	Q8MT58
Q9UHX1	Q8T6B9
P40939	Q9V397
Q9UG56	Q9VCE0
Q9BT17	Q9VCU5
Q8N5C6	Q9VCX7
Q9Y312	Q9VEA6
O15226	Q9VF83
Q8IWA0	Q9VIG1
Q96L50	Q9VKU0
Q12893	Q9VMD2
Q96Q11	Q9VNH2
Q9NVX2	Q9VPR4
Q9UHJ9	Q9VPT7
O00762	Q9VTY6
Q8WUB8	Q9VWF2
Q13206	Q9VX34
Q92547	Q9VY97
O43929	Q9W102
P51970	Q9W125
P82094	Q9W3V2
Q9Y5J9	Q9Y1A3
P40692	A1Z7C1
Q14562	A1Z9L3
Q8NEM0	E1JH39
Q8TCA0	H0RNK3
Q99714	O18404
P18754	P25171
Q6P4F2	P37193
O75175	Q7K126
P07992	Q7KMG7
Q5T2E6	Q7KSU3
Q96I25	Q7PL83
Q9P0J7	Q95RX5
Q16394	Q9V730
Q93034	Q9VAQ0
Q9H6R3	Q9VC92
O94829	Q9VEC5
Q8TEA8	Q9VGP0
Q9H6R0	Q9VL25
Q4L235	Q9VLL0
Q5JPI9	Q9VQJ8
Q9NPF4	Q9VV41
Q9H8H0	Q9VW10
Q6IPT4	Q9VWK8
Q9UDX5	Q9VX02
Q8N5U6	Q9W0D8
Q9ULX3	Q9W2Y4
Q6ZT12	Q9W3M3
Q15020	Q9W4D2
Q8WZA2	A1Z6P8
Q8WY98	A1Z7W3
Q9UJM8	A1Z8D3
Q8NEZ3	A1ZBM3
Q3T8J9	A8DYH1
P46781	P55935
Q9UKD2	Q7K1Q7
Q9UDW3	Q8IPW7
Q9BX10	Q960F7
Q96JJ7	Q961B9
Q96G97	Q9V3X4
Q96G21	Q9VBY2
P53582	Q9VC48
Q9H2G9	Q9VHE3
O60308	Q9VIU5
Q9P0I2	Q9VKR0
Q9H4A6	Q9VQ93
H3BPM6	Q9VQA8
Q8N461	Q9VTL8
Q9BUT9	Q9VUP0
Q9Y2L5	Q9VW22
Q15031	Q9VZ82
P43307	Q9W335
Q96AE7	Q9W4J6
Q8WX92	Q9Y113
Q9H8W4	O76902
Q14677	Q8IN05
Q9UNS1	Q8INH7
Q86VD9	Q8MT80
Q08623	Q94529
Q92544	Q9V3N6
P17980	Q9V3V6
Q86US8	Q9VBZ6
Q13395	Q9VD22
Q2TAY7	Q9VE18
P30048	Q9VEJ0
Q9P287	Q9VFR0
P30533	Q9VH64
Q14165	Q9VIG0
Q15126	Q9VIT2
Q9H9V9	Q9VJ97
Q9Y697	Q9VKD3
Q5T653	Q9VTF8
Q6PJ21	Q9VUW0
Q96F86	Q9VVI2
Q9NR48	Q9VW15
Q14019	Q9VWQ7
Q6PI98	Q9W3D4
O00488	Q9W3Y0
Q8NBF2	Q9W5T4
Q96SU4	A1Z814
Q8N5Y8	A1ZAG4
O14578	M9PI41
P60228	O77410
P11766	P46415
Q5U5X0	Q0KI15
Q16656	Q24312
Q9UKX7	Q7K0D8
Q8TCT6	Q86P97
Q9Y584	Q8IN78
Q8IXJ6	Q9I7I7
Q9UBI1	Q9I7W2
O00116	Q9V778
Q15185	Q9VH95
Q9HC77	Q9VI72
Q15843	Q9VJ33
Q9NRX1	Q9VR89
O95336	Q9VZ64
Q02241	Q9VZF5
Q9NQH7	Q9W5W7
Q13011	Q9W5W8
Q9H5U6	A1Z9S8
P62195	O18413
Q9UNY4	P34739
Q9NPL8	P81928
Q9BYB4	Q1WWB7
Q8IWX8	Q59E33
Q8NB15	Q9V574
Q9BYC8	Q9V9Z1
Q96H72	Q9VAF0
Q7L5N1	Q9VCY3
P48553	Q9VFB7
Q8IYL2	Q9VHB9
Q53HI1	Q9VHN5
Q9UK45	Q9VJI7
Q14152	Q9VN25
Q96S44	Q9VRJ6
Q9H0J4	Q9VTR6
E2RYF7	Q9VWK2
Q5SXM8	Q9VXR1
Q969S0	Q9W429
O43292	Q9W464
Q96BZ9	Q9W5H8
Q8TAD8	Q9W5Q1
Q8NDI1	A4UZL3
Q5JTJ3	B7Z107
P55789	C0PVB3
Q04900	M9PHX2
P62070	P04388
P21912	P21914
Q9NRP7	P23647
P62993	Q08012
Q9UGT4	Q0KHY3
O14936	Q24210
Q13616	Q24311
Q9P2X0	Q2PDR0
P50583	Q4V6M1
Q9ULU4	Q7KRS9
O95671	Q86BM0
A2A368	Q9I7L4
Q9NR20	Q9V3D5
P09661	Q9V4Q8
O60931	Q9VCR7
Q6P4H8	Q9VDC8
Q9UNA4	Q9VHV1
Q9Y6A4	Q9VKV8
Q15382	Q9VND8
Q9NY93	Q9VRI0
Q96DA6	Q9VTJ8
Q8IVF7	Q9VUC6
Q69YN4	Q9W1R5
Q16739	Q9W297
Q9BQC6	Q9W551
P35869	E1JIM6
P04818	O76511
P67870	P08182
P09471	P16378
P03905	P18931
Q9BUV8	Q7JXE4
P17152	Q8IQ56
Q9H0E3	Q8IQI0
Q9HBR0	Q8SY25
Q92545	Q9V7H4
Q9UKM7	Q9VAP8
O75879	Q9VCD0
O43837	Q9VD58
Q68DK2	Q9VGP1
Q5VWZ2	Q9VGV9
P62888	Q9VJ19
Q8N806	Q9VJE3
Q9Y6N1	Q9VMQ6
P09669	Q9VMS1
Q16795	Q9VPE2
Q9H5Z1	Q9VR29
Q8TBZ6	Q9VR56
Q9NQM4	Q9VUG3
P14854	Q9VWD1
Q16401	Q9VYG1
O95415	Q9VZP9
Q99501	Q9W3Y4
Q96FB5	A8DY65
O95628	M9PB92
P62269	P41094
O75947	Q24251
Q7Z7A3	Q7JWW5
P13994	Q7K0F0
Q68E01	Q7PLS8
Q9Y4X5	Q94981
Q9C0H5	Q9VDE9
Q9NVC6	Q9VEC1
