X6R8D5	A0A8V1AC92
Q7Z3B3	A0A3Q2UI25
Q7Z3B4	F1NZ34
Q7Z3C6	E1BVB2
Q7Z3D6	A0A8V0ZA89
Q7Z3E1	A0A8V0X8V3
Q7Z3E2	A0A8V0ZN75
Q7Z3E5	A0A8V0YTZ6
Q7Z3F1	A0A8V0ZRG9
Q7Z3G6	A0A8V0ZDQ5
Q7Z3H4	A0A8V0YRB2
Q7Z3J2	A0A8V0YX79
Q7Z3K3	A0A8V1AGU2
Q7Z3S7	A0A8V0YMA3
Q7Z3T8	A0A8V0Y068
Q7Z3U7	A0A8V0YL88
Q7Z3V4	A0A8V0ZKK3
Q7Z3Z2	A0A8V0Z806
Q7Z401	A0A8V0Z3U9
Q7Z403	A0A8V1AJN9
Q7Z407	A0A8V0XYI4
Q7Z410	A0A8V1A8E4
Q7Z412	A0A8V0YG62
Q7Z417	A0A8V1AEP6
Q7Z418	A0A8V0ZPW1
Q7Z419	A0A8V0Y0Q2
Q7Z422	Q5ZK25
Q7Z434	A0A8V0YWE2
Q7Z442	A0A8V0Y2B8
Q7Z449	A0A8V0XVG3
Q7Z460	A0A8V0ZK56
Q7Z478	A0A8V0YU49
Q7Z494	A0A8V0Z9P8
Q7Z4G1	A0A8V0X6G5
Q7Z4H3	A0A1L1RPZ3
Q7Z4H4	A0A8V0XY69
Q7Z4H7	A0A8V0YWI3
Q7Z4H8	A0A8V0XLF0
Q7Z4I7	A0A8V0ZQ85
Q7Z4L5	A0A8V1A5N5
Q7Z4L9	A0A1D5PTQ4
Q7Z4M0	A0A8V0ZDR7
Q7Z4N2	A0A8V1A1W4
Q7Z4N8	A0A8V0XAP1
Q7Z4Q2	A0A8V1A4L3
Q7Z4S6	A0A8V0Y4T0
Q7Z4T9	A0A8V1A3Y6
Q7Z4V0	A0A8V0XM99
Q7Z4V5	A0A8V1A7X4
Q7Z553	A0A8V0Z888
Q7Z569	A0A8V0ZZ54
Q7Z570	A0A8V0YSD3
Q7Z589	A0A8V0XET2
Q7Z591	A0A8V1AFZ7
Q7Z5A7	A0A8V0Y305
Q7Z5A9	A0A8V0ZAV8
Q7Z5B4	A0A8V0ZE19
Q7Z5G4	Q5ZLC9
Q7Z5H3	A0A8V0ZKY2
Q7Z5J4	A0A8V0Z8U7
Q7Z5K2	A0A8V0Y6K3
Q7Z5L0	P41366
Q7Z5L2	A0A8V0Z314
Q7Z5L3	A0A1D5PB05
Q7Z5L7	A0A8V1A5Z6
Q7Z5L9	A0A8V0XZF3
Q7Z5Q1	A0A8V0Y7I2
Q7Z5Q5	A0A8V0Z9E4
Q7Z5S9	A0A8V0Y5J3
Q7Z5U6	A0A8V0ZZZ2
Q7Z5W3	A0A8V0ZRH0
Q7Z5Y7	A0A8V0ZZ55
Q7Z601	H9L338
Q7Z602	A0A8V0YXF8
Q7Z614	A0A8V0ZSH7
Q7Z624	A0A8V0ZDJ1
Q7Z628	A0A8V0XRJ2
Q7Z695	F1P1M5
Q7Z698	A0A8V0Z9R5
Q7Z699	A0A3Q2U2F6
Q7Z6B0	A0A8V0ZMP6
Q7Z6B7	A0A8V0YF03
Q7Z6E9	A0A8V0YVP3
Q7Z6G3	A0A8V1A1Z9
Q7Z6G8	A0A8V0YVH8
Q7Z6I6	A0A8V1AGK1
Q7Z6I8	A0A8V0YCG8
Q7Z6J0	A0A8V0XTY5
Q7Z6J2	A0A8V1A536
Q7Z6J6	A0A1D5PU93
Q7Z6J8	A0A8V0XJC4
Q7Z6J9	A0A8V1AEY4
Q7Z6K3	A0A8V0YX03
Q7Z6K4	A0A8V1A8V5
Q7Z6L0	A0A8V1AK82
Q7Z6M2	F1NBR9
Q7Z6M3	A0A8V1AJM2
Q7Z6M4	A0A8V1A7J1
Q7Z6P3	A0A8V1A3R6
Q7Z6R9	E1C135
Q7Z6V5	F1P565
Q7Z6Z7	A0A8V0X7N6
Q7Z739	A0A8V0XFA0
Q7Z769	F1NGX8
Q7Z7A1	A0A8V1A9Y6
Q7Z7A4	A0A3Q2U3Q2
Q7Z7B0	A0A8V0XMV6
Q7Z7B1	A0A8V1AB48
Q7Z7C7	A0A8V0Y496
Q7Z7C8	R4GIW1
Q7Z7D3	A0A8V0ZRJ0
Q7Z7E8	A0A1D5NVE2
Q7Z7F7	A0A8V1A7N7
Q7Z7G0	A0A8V0XQQ2
Q7Z7G1	A0A8V0XXX7
Q7Z7G2	A0A8V0Y5C1
Q7Z7G8	A0A8V0YH92
Q7Z7H3	A0A8V0Z9J4
Q7Z7H8	A0A8V0ZP71
Q7Z7J7	A0A8V0ZJV6
Q7Z7K0	A0A8V0XHF8
Q7Z7K2	A0A8V1AFG7
Q7Z7K6	A0A8V1AF07
Q7Z7L7	F1NI66
Q7Z7M1	A0A8V1AM49
Q86SE5	A0A8V0YCL1
Q86SE8	A0A8V0ZE01
Q86SE9	E1BYN8
Q86SF2	A0A1D5PJE0
Q86SG6	A0A3Q2UF44
Q86SH2	A0A8V0Z3Y7
Q86SJ2	A0A8V0YUJ7
Q86SK9	A0A8V0XKU3
Q86SQ0	A0A8V0XPF2
Q86SQ4	F1P1B2
Q86SQ7	A0A8V0XTJ0
Q86SQ9	A0A1D5P0D0
Q86SR1	A0A8V0YXF6
Q86SS6	A0A8V0ZQK4
Q86SU0	A0A8V0XP71
Q86SX3	A0A8V0YQF6
Q86SX6	Q5ZK23
Q86SZ2	A0A8V0XSI5
Q86T03	A0A8V0X4G1
Q86T13	A0A8V0XKL8
Q86T20	R4GI71
Q86T24	A0A8V0YNX0
Q86T90	A0A8V0Y9M3
Q86T96	A0A3Q2U4J1
Q86TA1	A0A8V0XYI8
Q86TB3	A0A8V0YDH4
Q86TB9	A0A8V0ZKB8
Q86TC9	A0A8V0ZK51
Q86TE4	A0A1D5NYL9
Q86TG1	E1C9H3
Q86TH1	A0A8V1AAG2
Q86TI2	A0A3Q2U8J3
Q86TI4	A0A1D5NUP4
Q86TJ2	A0A8V0YAD3
Q86TL2	A0A8V1AJ85
Q86TM6	A0A8V0XAL1
Q86TN4	A0A8V0X328
Q86TP1	A0A8V1A9L3
Q86TS9	A0A8V0XMD7
Q86TU7	Q5ZML9
Q86TV6	A0A8V0Z2W6
Q86TY3	A0A8V0Z895
Q86U02	A0A8V0XRV9
Q86U10	A0A8V0YWN3
Q86U28	A0A8V0XJP4
Q86U44	A0A8V0XKP3
Q86U70	O42252
Q86U90	A0A8V0YIR7
Q86UA1	A0A3Q2U6Y4
Q86UA6	A0A8V1AMS6
Q86UB2	A0A8V0XRE2
Q86UB9	A0A8V0XPC3
Q86UC2	A0A8V0XMF5
Q86UD0	A0A8V1A5M7
Q86UD1	Q71SY6
Q86UD3	R4GIT3
Q86UD5	A0A8V0YS03
Q86UE4	A0A8V0YA02
Q86UE6	A0A8V0YXK3
Q86UE8	A0A3Q2TUS7
Q86UK0	A0A8V0YD72
Q86UK5	A0A8V0YCE0
Q86UK7	A0A8V0YZ50
Q86UL3	A0A3Q2TVG7
Q86UL8	A0A8V0Y088
Q86UN2	A0A8V1ACR7
Q86UN3	A0A8V1AB07
Q86UN6	A0A8V0YHM4
Q86UP6	A0A8V0X6T3
Q86UP9	A0A8V0YCG0
Q86UQ4	A0A8V0X0K1
Q86UR5	A0A8V0XA02
Q86US8	A0A8V1AM23
Q86UT5	A0A8V1A010
Q86UT6	A0A8V0ZYD5
Q86UT8	A0A8V1A095
Q86UU0	A0A8V1A080
Q86UU1	A0A8V1A0Q2
Q86UW1	A0A8V0YX82
Q86UW6	A0A8V0YUT0
Q86UW7	A0A8V0X3E2
Q86UW8	A0A8V1A8F8
Q86UW9	A0A3Q2TTJ2
Q86UX2	A0A8V0XQ82
Q86UX6	A0A8V0XBZ0
Q86UY5	A0A8V0XYF7
Q86UY6	A0A8V0X0B7
Q86UY8	A0A1D5PNR2
Q86UZ6	A0A3Q2U2W3
Q86V15	A0A8V0ZJ27
Q86V20	A0A8V0YE94
Q86V24	Q5ZMH3
Q86V25	A0A3Q2UCE7
Q86V35	A0A8V0X2Q4
Q86V40	A0A8V0YH73
Q86V42	A0A1D5NXK4
Q86V48	A0A8V0YPS1
Q86V81	E1C2L5
Q86V85	A0A8V0XNV0
Q86V86	E1BY69
Q86VD7	A0A8V1AHP8
Q86VD9	A0A8V0YT69
Q86VE9	A0A8V0Y579
Q86VF2	A0A8V1A3L4
Q86VF7	F1NKU9
Q86VG3	A0A8V1A6Q0
Q86VH2	A0A3Q2U8W8
Q86VH4	F1NP47
Q86VH5	A0A8V0XWT5
Q86VI1	A0A8V0ZNV3
Q86VI4	A0A8V0YBJ6
Q86VK4	A0A1D5PH29
Q86VM9	A0A8V0XY26
Q86VN1	A0A8V0XGX8
Q86VP1	A0A8V0XBD0
Q86VP3	A0A8V0YR97
Q86VP6	F1NHL2
Q86VQ0	E1BQB4
Q86VQ1	A0A8V0XML1
Q86VQ6	A0A8V0ZNY0
Q86VR2	A0A3Q2UKZ0
Q86VR8	S4VGQ1
Q86VS3	A0A8V0Z6F7
Q86VS8	A0A8V0Y7B7
Q86VU5	A0A8V0ZMG3
Q86VV4	A0A8V0YN22
Q86VV8	A0A8V0X6Y5
Q86VW0	A0A1L1RW10
Q86VW1	A0A8V0YNZ3
Q86VX2	A0A8V0YMD9
Q86VY9	E1BT36
Q86VZ1	Q5ZI82
Q86VZ4	A0A8V0XMB0
Q86VZ6	A0A1D5PFG7
Q86W42	A0A8V0XD98
Q86W47	A0A8V0YB62
Q86W56	A0A8V0YA90
Q86W74	A0A8V0Y4I1
Q86W92	A0A8V0YIL8
Q86WA6	A0A8V0Y974
Q86WA8	A0A8V0ZRI7
Q86WA9	A0A8V1AC26
Q86WB0	A0A8V0XQU1
Q86WC4	Q5ZMW4
Q86WG3	A0A8V1ADE7
Q86WG5	A0A8V0ZNP8
Q86WH2	A0A8V0YHN5
Q86WI3	A0A8V0ZG98
Q86WJ1	A0A8V1A5B5
Q86WK7	A0A8V1AI19
Q86WK9	A0A8V0YT23
Q86WN1	A0A3Q2UHN7
Q86WP2	A0A8V0YT26
Q86WQ0	A0A8V1AKE0
Q86WR0	A0A8V0Y040
Q86WR7	A0A8V0XN11
Q86WS4	A0A8V0XY71
Q86WS5	A0A8V0ZPI0
Q86WT6	A0A8V0YXT2
Q86WU2	A0A8V1ABV3
Q86WV1	A0A8V0ZCY8
Q86WV5	A0A8V1ANP2
Q86WW8	A0A8V0YUT3
Q86X02	R4GIU8
Q86X10	R4GK99
Q86X24	A0A8V1AK25
Q86X27	Q5ZJK0
Q86X40	A0A1L1RPT5
Q86X45	A0A8V0Y682
Q86X52	A0A8V0Z8G8
Q86X53	A0A8V0XA59
Q86X67	A0A8V0ZBU5
Q86X83	A0A8V0X6P7
Q86X95	Q5ZI03
Q86XA0	A0A8V1ACK3
Q86XA9	A0A8V0XMK3
Q86XD5	A0A8V1A2M5
Q86XD8	A0A8V0ZNH4
Q86XE3	A0A1D5PEC4
Q86XE5	A0A8V0ZFA8
Q86XI2	A0A8V0ZVW2
Q86XI6	A0A8V0XCG3
Q86XJ0	A0A8V0ZGF7
Q86XJ1	R4GGB8
Q86XK2	A0A8V0YWG2
Q86XL3	A0A8V0ZAD6
Q86XN7	F1P589
Q86XN8	A0A8V1A5N7
Q86XP1	A0A8V0X8Y2
Q86XP6	A0A1D5PFM9
Q86XR5	B9VWG2
Q86XR7	A0FKC7
Q86XR8	A0A8V0XT96
Q86XS5	E1C2K8
Q86XS8	A0A8V0YRM6
Q86XT2	A0A8V1AIQ2
Q86XT4	A0A8V1AML5
Q86XX4	A0A8V0XS21
Q86XZ4	A0A8V0ZTB3
Q86Y01	A0A8V0X556
Q86Y07	A0A8V0Z124
Q86Y22	A0A8V0YSW8
Q86Y33	A0A8V0YJR0
Q86Y34	A0A8V0ZXQ2
Q86Y37	Q5ZMM9
Q86Y39	A0A8V1AFI6
Q86Y56	A0A8V0ZGV1
Q86Y78	A0A8V0Y4C4
Q86Y82	A0A8V0YR83
Q86YA3	A0A8V0XMP8
Q86YB7	F1NSS6
Q86YB8	A0A8V0Y127
Q86YC2	F1NAU2
Q86YC3	A0A8V1A265
Q86YD5	A0A8V1A413
Q86YF9	A0A3Q3B1Q5
Q86YH6	U3M6H4
Q86YI8	A0A8V0Z8K9
Q86YJ6	A0A8V0YWS1
Q86YJ7	A0A8V1AK43
Q86YL5	A0A1D5NYN9
Q86YL7	A0A1D5PGY5
Q86YM7	A0A1D5PU34
Q86YN1	A0A8V1AF52
Q86YN6	A0A8V0XSK2
Q86YP4	A0A1D5PFQ6
Q86YQ8	F1NGI7
Q86YR5	A0A8V1AHY6
Q86YS3	A0A8V1APB7
Q86YS6	A0A8V1AE09
Q86YS7	A0A8V0YW71
Q86YT6	A0A8V0XF10
Q86YT9	A0A8V1A1E9
Q86YV0	A0A8V0XAM2
Q86YV5	A0A8V0X8J8
Q86YV6	A0A8V0YIL0
Q86YV9	E1C2Y8
Q86YW0	Q2VRL0
Q86YW7	R4GK45
Q86YW9	A0A8V0X6N7
Q86Z02	E1BW82
Q86Z14	A0A8V0Z2L0
Q86Z20	A0A8V0XSG7
Q86Z23	A0A8V0ZX27
Q8HWS3	A0A8V0YF66
Q8IU57	K9JA28
Q8IU60	A0A8V0XZ75
Q8IU80	A0A8V0YPR8
Q8IU85	A0A8V0XKR3
Q8IU89	A0A8V0Z8I2
Q8IU99	A0A8V0ZGE7
Q8IUB2	A0A8V0YTD7
Q8IUD2	E1BQR7
Q8IUF8	A0A8V0XS76
Q8IUG5	A0A8V0ZBF6
Q8IUH2	A0A3Q2U8T7
Q8IUH3	A0A8V0ZY00
Q8IUH4	A0A8V0ZFK7
Q8IUH5	A0A8V0YMN9
Q8IUI8	A0A8V1ADY2
Q8IUK5	A0A8V1A8Q4
Q8IUK8	A0A8V0XAD0
Q8IUL8	A0A8V1AIZ2
Q8IUM7	A0A8V0Z053
Q8IUQ0	A0A8V0XF18
Q8IUQ4	F1P2G0
Q8IUR0	Q5F359
Q8IUR5	A0A8V0YE60
Q8IUR6	A0A8V0XWM0
Q8IUR7	A0A8V0ZS10
Q8IUS5	E1C694
Q8IUX7	A0A8V0ZA46
Q8IUX8	A0A8V0XDG0
Q8IUY3	A0A8V0ZHG5
Q8IUZ0	A0A8V0ZRF5
Q8IUZ5	A0A8V0YK70
Q8IV01	A0A8V0ZQC5
Q8IV03	A0A8V0YWL9
Q8IV08	A0A8V0Y661
Q8IV13	A0A8V0Y2E6
Q8IV20	A0A8V0XGG6
Q8IV32	A0A8V0ZSV6
Q8IV33	A0A8V0YE46
Q8IV36	A0A8V1AJW8
Q8IV42	A0A8V0XA33
Q8IV48	A0A8V0XCA0
Q8IV50	E1C5Q2
Q8IV61	A0A3S5ZPR1
Q8IV63	A0A8V0Z9B7
Q8IV77	A0A8V0X2U3
Q8IVB4	A0A8V0YVM6
Q8IVB5	A0A8V1ADQ4
Q8IVD9	A0A8V0Z8F9
Q8IVE3	A0A8V0ZK98
Q8IVF2	A0A8V0ZIT5
Q8IVF4	A0A8V1A6M2
Q8IVF5	A0A1D5PML9
Q8IVH2	A0A8V1AFE6
Q8IVH4	A0A8V0XVE2
Q8IVH8	A0A8V0YTR2
Q8IVJ1	E1C334
Q8IVL0	A0A8V0YKX1
Q8IVL1	A0A8V0ZBW3
Q8IVL6	A0A8V0ZW10
Q8IVL8	A0A8V1A6R8
Q8IVM0	Q5ZM86
Q8IVN3	Q76MS9
Q8IVN8	A0A8V0X7F1
Q8IVQ6	Q5F3P6
Q8IVS2	A0A1D5PZK7
Q8IVS8	A0A3Q2U5V7
Q8IVT5	A0A8V1AP60
Q8IVU1	A0A8V0Z3D6
Q8IVU9	A0A8V0Y2G8
Q8IVV2	A0A8V0Y7H2
Q8IVV7	A0A8V0Z3G6
Q8IVV8	A0A8V1A3Y7
Q8IVW6	A0A8V0ZNW6
Q8IVW8	A0A8V1ACY4
Q8IVY1	A0A8V0ZPA8
Q8IW00	A0A8V0Z6G3
Q8IW03	R4GKE1
Q8IW19	A0A8V0Z417
Q8IW35	A0A8V0XK50
Q8IW40	A0A8V0ZL78
Q8IW41	A0A8V1A4J8
Q8IW45	A0A8V0YHG3
Q8IW50	A0A8V0Y9Q4
Q8IW52	A0A8V0ZAZ0
Q8IW70	F1NC44
Q8IW92	A0A8V1A539
Q8IWA0	A0A8V0YHC2
Q8IWA4	A0A8V0ZCG3
Q8IWA6	A0A8V0ZMN7
Q8IWB1	A0A8V0ZI81
Q8IWB6	A0A8V1ANU2
Q8IWB7	F1NVZ1
Q8IWB9	A0A8V1AJJ1
Q8IWD4	F1N8K2
Q8IWE2	A0A8V0YQR5
Q8IWE4	E1BTK1
Q8IWE5	A0A8V0ZSY3
Q8IWF2	E1C6M2
Q8IWF9	A0A8V0Y4A2
Q8IWG1	A0A8V0ZEJ0
Q8IWI9	A0A8V0ZDP0
Q8IWJ2	A0A8V0YKB0
Q8IWK6	A0A8V0Y2M4
Q8IWL3	A0A8V1A242
Q8IWN7	A0A8V0YC42
Q8IWP9	E1BZ94
Q8IWQ3	A0A8V1A6P6
Q8IWR0	A0A8V0ZLR8
Q8IWR1	Q5ZMD4
Q8IWS0	A0A8V0YLN3
Q8IWT0	F1NMM3
Q8IWT1	A0A8V0ZVS6
Q8IWT6	E1BQK4
Q8IWU2	A0A8V0ZFM2
Q8IWU4	A0A1D5NY81
Q8IWU5	A0A8V0ZYN4
Q8IWU6	A0A8V0XCK3
Q8IWU9	A0A8V0YNZ0
Q8IWV2	A0A8V0ZEQ2
Q8IWV7	A0A8V0ZM17
Q8IWV8	A0A8V0Z730
Q8IWW6	A0A8V0XT34
Q8IWW8	A0A8V0XIF9
Q8IWX5	A0A8V0ZTE7
Q8IWX7	F1NVB3
Q8IWX8	A0A8V1AEL1
Q8IWY4	A0A8V0YFI3
Q8IWY9	A0A8V0ZAU4
Q8IWZ3	A0A8V0XYX9
Q8IWZ5	A0A8V1A257
Q8IWZ6	E1BXI4
Q8IWZ8	A0A8V1AGU6
Q8IX03	A0A8V0XRX3
Q8IX04	A0A8V1A5C6
Q8IX07	A0A8V0XXX3
Q8IX12	A0A8V0ZTK7
Q8IX18	A0A8V1AJ43
Q8IX21	A0A8V0Z0I7
Q8IX29	A0A8V0Y2D3
Q8IX30	A0A8V1AC12
Q8IX90	A0A8V0XP12
Q8IXB1	A0A8V0ZPK3
Q8IXF0	A0A8V0XQP3
Q8IXH6	A0A8V0ZJL5
Q8IXH7	Q5ZIQ8
Q8IXI2	Q5ZM73
Q8IXJ6	A0A8V0Y0X1
Q8IXJ9	A0A8V0YK20
Q8IXK0	A0A8V0YVZ7
Q8IXK2	A0A8V0XT35
Q8IXL6	A0A8V0ZU54
Q8IXL7	A0A8V0YEE8
Q8IXM2	A0A8V0X7E6
Q8IXM3	A0A3Q2UGE4
Q8IXQ4	A0A1D5PNN0
Q8IXQ6	A0A8V0ZDQ8
Q8IXQ9	A0A8V0Y1M4
Q8IXS2	A0A8V0ZIS3
Q8IXS8	A0A8V1A085
Q8IXT1	A0A8V0XYR8
Q8IXT5	Q5ZHZ9
Q8IXU6	A0A8V0XQY6
Q8IXV7	A0A8V0ZF49
Q8IXW5	A0A8V0ZMX1
Q8IXY8	A0A8V0YMU6
Q8IXZ2	A0A8V0Y2C5
Q8IY17	A0A8V0XA08
Q8IY22	A0A8V0XSP3
Q8IY26	A0A8V0YSP1
Q8IY31	A0A8V1ADP5
Q8IY33	A0A8V0ZAV0
Q8IY37	A0A8V0Z9G4
Q8IY42	A0A8V0YNY5
Q8IY45	A0A8V0Y1J4
Q8IY47	A0A1D5P5M0
Q8IY50	A0A8V0Y3J5
Q8IY57	A0A8V0XEM9
Q8IY63	A0A8V0XYG0
Q8IY82	A0A8V0ZJR0
Q8IY84	A0A8V0YNI5
Q8IY92	A0A8V0YNU3
Q8IY95	A0A8V0XZV1
Q8IYA6	A0A8V0Z799
Q8IYA7	A0A8V0XHT5
Q8IYA8	A0A8V0ZSQ8
Q8IYB1	E1C397
Q8IYB4	A0A8V0ZBW1
Q8IYB5	A0A8V0X320
Q8IYB7	A0A8V0Z2M1
Q8IYD1	A0A1D5PYQ3
Q8IYD2	A0A8V1A723
Q8IYE0	A0A8V0Y456
Q8IYE1	A0A8V1A911
Q8IYF3	A0A8V0Z725
Q8IYG6	A0A8V0ZYD3
Q8IYH5	F1NID3
Q8IYJ0	A0A8V0ZS61
Q8IYJ1	A0A8V0ZQZ0
Q8IYL2	A0A8V0YXQ6
Q8IYL3	F1P3V9
Q8IYL9	F1NJ83
Q8IYN6	A0A1D5P876
Q8IYP9	A0A8V0XVP6
Q8IYQ7	A0A8V0XEU1
Q8IYR0	A0A8V0XLH4
Q8IYR6	A0A8V0XS53
Q8IYS0	A0A8V0XYT1
Q8IYS1	A0A8V0XJ62
Q8IYS2	A0A8V0ZNR7
Q8IYS4	A0A8V0YXZ3
Q8IYT2	A0A6G9KCI8
Q8IYT3	A0A8V0XF44
Q8IYT4	A0A8V0Y9B4
Q8IYT8	A0A8V1AF73
Q8IYU2	E1C656
Q8IYU8	E1C179
Q8IYW5	A0A8V1A2A1
Q8IYX4	A0A8V0YFK6
Q8IYX7	A0A8V0YN14
Q8IZ02	A0A8V0Z4X2
Q8IZ07	A0A8V0ZT30
Q8IZ08	A0A3Q2TX29
Q8IZ41	A0A1D5P533
Q8IZ52	A0A8V0ZC44
Q8IZ57	A0A8V0XVS6
Q8IZ63	A0A8V1A9P2
Q8IZ69	A0A8V0ZM48
Q8IZ73	A0A8V0ZYZ4
Q8IZ81	A0A8V0Y585
Q8IZA0	A0A8V0YLA5
Q8IZA3	A0A8V0ZGC6
Q8IZC4	A0A8V0Y406
Q8IZC6	A0A8V1ABV6
Q8IZD0	A0A8V1A241
Q8IZD2	A0A8V0XZB7
Q8IZD4	A0A3Q2U9U1
Q8IZD6	A0A8V1A2S4
Q8IZD9	A0A8V1A7M9
Q8IZE3	A0A8V0YV48
Q8IZF0	E1BSL8
Q8IZF2	A0A8V0XZI4
Q8IZF3	A0A8V0Y061
Q8IZF4	A0A8V1A5B2
Q8IZH2	A0A8V0YLM3
Q8IZJ1	E1C228
Q8IZJ3	A0A8V1AFR7
Q8IZJ6	A0A8V0Y8P2
Q8IZK6	A0A8V0ZM58
Q8IZL2	A0A8V0Y1P9
Q8IZM8	A0A8V0XXG7
Q8IZM9	E1BXH7
Q8IZN3	A0A8V0XK73
Q8IZP9	A0A8V0XHP7
Q8IZQ1	A0A3Q2TTY6
Q8IZQ8	A0A8V1AQ12
Q8IZR5	F1P203
Q8IZS6	A0A8V0XK74
Q8IZS8	A0A8V1A5V8
Q8IZT6	A0A8V0Y0G6
Q8IZT8	R4GJI3
Q8IZU2	A0A8V0X9G5
Q8IZU3	A0A8V0YDD5
Q8IZU8	A0A8V0X5K6
Q8IZU9	A0A8V0ZZF6
Q8IZV2	A0A8V0XC72
Q8IZV5	A0A1D5PLZ3
Q8IZW8	A0A8V0ZWA2
Q8N0S6	Q1T7C0
Q8N0T1	A0A3Q2UIR7
Q8N0U2	A0A8V0ZQY9
Q8N0U4	A0A8V0Y2G3
Q8N0U8	F1P573
Q8N0V3	A0A8V0XXN1
Q8N0V4	A0A8V0Y5X7
Q8N0V5	A0A3Q2TYS4
Q8N0W3	A0A8V0ZU17
Q8N0W5	A0A8V0Z3R8
Q8N0W7	A0A1L1RKE8
Q8N0X2	A0A8V0YB98
Q8N0X4	A0A8V0XPS2
Q8N0X7	A0A8V0XY54
Q8N0Z2	A0A8V0YIY6
Q8N0Z3	A0A8V0ZIJ6
Q8N0Z8	A0A8V0Z5L6
Q8N0Z9	A0A8V0Z9T5
Q8N100	O57598
Q8N103	A0A8V0XV08
Q8N111	A0A8V0ZU72
Q8N122	A0A8V1AP32
Q8N126	A0A8V1A9X6
Q8N127	A0A8V0ZJH5
Q8N128	A0A8V0XZ25
Q8N131	A0A8V0XVH0
Q8N136	A0A8V0ZTP2
Q8N138	A0A8V1A656
Q8N142	A0A8V0Z059
Q8N157	A0A8V0XUA1
Q8N165	A0A8V0Z2E3
Q8N183	R4GHM9
Q8N187	A0A8V1A4F0
Q8N1A0	A0A8V0ZX31
Q8N1A6	A0A8V0XYF2
Q8N1B3	A0A8V0X1T3
Q8N1C3	A0A8V0YLH3
Q8N1D5	Q9YH28
Q8N1E6	A0A1D5PZ57
Q8N1F7	A0A8V1A4I4
Q8N1G0	A0A8V1ALB3
Q8N1G1	A0A8V1AIJ8
Q8N1G2	A0A8V0ZDM0
Q8N1G4	A0A8V0ZJ00
Q8N1H7	A0A8V0Z4J6
Q8N1I0	A0A8V0X4Z8
Q8N1I8	A0A8V1AHJ1
Q8N1K5	A0A8V0XQC5
Q8N1M1	E1C882
Q8N1P7	A0A8V0YR44
Q8N1Q1	A0A1D5NX31
Q8N1S5	A0A8V1ANV0
Q8N1T3	A0A8V0ZDA8
Q8N1W1	A0A8V0YEI5
Q8N201	A0A8V0Z496
Q8N228	A0A8V0YHS5
Q8N239	F1NN24
Q8N264	A0A8V0XM50
Q8N271	A0A1D5PPW2
Q8N2A8	A0A8V0ZEB2
Q8N2C7	A0A8V0Y4E1
Q8N2E2	A0A8V0XET8
Q8N2G4	A0A3Q2TUP5
Q8N2G6	R4GI53
Q8N2H4	A0A8V0ZLM3
Q8N2K1	A0A8V0YPW4
Q8N2M4	A0A8V0ZSW9
Q8N2Q7	D2X2H3
Q8N2R0	A0A8V0Y410
Q8N2R8	A0A1D5PHW0
Q8N2U9	A0A8V0Y171
Q8N2W9	A0A1D5P2D1
Q8N2Y8	A0A8V0XWK0
Q8N300	A0A3Q2TSN3
Q8N302	F1NWU4
Q8N309	A0A8V1AAF5
Q8N335	F1P0W8
Q8N336	A0A8V0XPZ2
Q8N344	A0A8V1ACI8
Q8N350	A0A8V1ABP0
Q8N357	A0A8V0Y0J7
Q8N365	A0A8V1ALE1
Q8N370	E1C4M9
Q8N371	A0A8V0YTT4
Q8N392	A0A1D5PSK2
Q8N394	A0A8V0YGG6
Q8N3A8	A0A8V0YG27
Q8N3C0	F1NTD6
Q8N3C7	A0A8V0Z3W6
Q8N3E9	A0A8V0ZUG3
Q8N3F0	A0A8V0Z572
Q8N3F8	A0A8V0Y126
Q8N3F9	F1NU49
Q8N3G9	F1NNB8
Q8N3H0	A0A8V0Y6C2
Q8N3J2	A0A8V0X8X1
Q8N3J5	F1P138
Q8N3J6	A0A8V0Y057
Q8N3K9	A0A8V0YFL5
Q8N3P4	A0A8V0ZSS0
Q8N3R3	A0A8V0YV39
Q8N3R9	E1C3F8
Q8N3T1	A0A8V0X8G3
Q8N3T6	A0A8V0ZM26
Q8N3U4	A0A8V0YJI9
Q8N3X1	A0A8V0ZE93
Q8N3Y1	F1NDZ6
Q8N3Y7	A0A8V0XIB1
Q8N3Z0	A0A8V0XEY5
Q8N3Z3	A0A8V0XM63
Q8N3Z6	A0A8V0X767
Q8N414	A0A1D5P057
Q8N427	A0A1D5PUV4
Q8N428	A0A8V0Z6S1
Q8N431	A0A8V0YTK1
Q8N434	A0A8V0YJ78
Q8N436	A0A8V0XDI9
Q8N442	A0A8V0YFJ1
Q8N448	A0A3Q2UPM4
Q8N456	A0A3Q2TTF6
Q8N461	A0A8V0Z710
Q8N465	A0A8V1A0H3
Q8N468	F1NRT0
Q8N475	A0A1D5PJN7
Q8N485	Q8UVV7
Q8N488	A0A8V0Z9S1
Q8N490	A0A8V0Z312
Q8N4B4	A0A8V1AN15
Q8N4B5	A0A8V0XWB4
Q8N4C6	A0A8V0ZH33
Q8N4C7	E1C6K1
Q8N4E4	A0A8V0YJU0
Q8N4G2	A0A1D5P0L5
Q8N4H5	A0A8V0X9V5
Q8N4J0	F1N9S8
Q8N4K4	A0A1D5P5D7
