Q96Q11	P21269
Q9Y3U8	P05745
Q9NS18	P17695
Q9NS18	P25373
Q8TDC3	P34244
Q8TDC3	Q12263
P51784	P39538
Q9Y4E8	P39538
Q8NFA0	P39538
Q13107	P39538
P35125	P39538
O94966	P39538
Q96CQ1	P38127
Q9BSK2	P38127
P07741	P36973
P07741	P49435
P78549	P31378
P78549	Q08214
Q5H9R7	P40856
O75170	P40856
Q9UPN7	P40856
Q6ZS81	P25356
Q99698	P25356
Q8IZQ1	P25356
Q14542	P31381
Q9BZD2	P31381
Q7RTT9	P31381
Q99808	P31381
P61966	P35181
P56377	P35181
Q96PC3	P35181
Q8TAA3	P40303
O14818	P40303
P28074	P30656
P28062	P30656
Q96ST3	P22579
O75182	P22579
P08134	P06780
P62745	P06780
P61586	P06780
P18124	Q12213
P18124	P05737
Q6DN14	Q12466
Q6DN14	Q03640
Q6DN14	P48231
A0FGR8	Q12466
A0FGR8	Q03640
A0FGR8	P48231
Q9BSJ8	Q12466
Q9BSJ8	Q03640
Q9BSJ8	P48231
Q9Y2Q0	P39524
Q9NTI2	P39524
Q5T280	P53336
Q5T280	Q04867
P63167	Q02647
Q96FJ2	Q02647
O15541	P53769
Q8IZP6	P53769
Q14684	P35178
P56182	P35178
P23109	P15274
Q01433	P15274
Q01432	P15274
Q5VT52	Q05543
Q9NQG5	Q05543
Q96P16	Q05543
Q96SB4	Q03656
P78362	Q03656
Q9UPE1	Q03656
P37058	P38286
Q53GQ0	P38286
Q3SXM5	P38286
P62834	P13856
P61224	P13856
A6NIZ1	P13856
O95433	Q12449
Q719I0	Q12449
P83731	P04449
P83731	P24000
P62241	P0CX39
P62241	P0CX40
P62249	P0CX52
P62249	P0CX51
P30050	P0CX54
P30050	P0CX53
P84098	P0CX83
P84098	P0CX82
Q6UXN7	P35180
Q15388	P35180
P11940	P04147
Q9H361	P04147
P0CB38	P04147
Q4VXU2	P04147
Q13310	P04147
Q8IXB1	P40564
Q8IXB1	P39101
Q6IN85	P40164
Q6ZMV5	P40164
Q5MIZ7	P40164
P21359	P18963
P21359	P19158
P18669	P00950
P07738	P00950
Q8N0Y7	P00950
P15259	P00950
O95544	P32622
O95544	P21373
Q16769	P43599
Q9NXS2	P43599
P22670	P48743
Q6ZV50	P48743
Q33E94	P48743
Q8HWS3	P48743
P48380	P48743
P48378	P48743
Q8IXL7	P25566
Q9Y3D2	P25566
Q9H0D6	Q02792
Q8IZH2	Q02792
Q9H0D6	P22147
Q8IZH2	P22147
P02730	P53838
P04920	P53838
P48751	P53838
Q96Q91	P53838
Q9Y6R1	P53838
Q9BY07	P53838
Q8NBS3	P53838
Q6U841	P53838
Q2Y0W8	P53838
Q9Y6M7	P53838
P36578	P10664
P36578	P49626
Q9BSU3	P07347
P41227	P07347
Q13454	P48439
Q9H0U3	P48439
P27635	P41805
Q96L21	P41805
P40429	P26785
P40429	P26784
Q3SYC2	Q08650
Q86VF5	Q08650
Q96PD6	Q08650
Q6E213	Q08650
Q6ZPD8	Q08650
Q58HT5	Q08650
Q96PD7	Q08650
Q8TB72	Q07807
Q14671	Q07807
Q92928	P01123
Q9H0U4	P01123
P62820	P01123
Q9Y2U5	P23561
Q99759	P23561
Q56UN5	P23561
G2XKQ0	Q12306
P61956	Q12306
P63165	Q12306
P55854	Q12306
P84243	P61830
Q5TEC6	P61830
Q71DI3	P61830
P68431	P61830
Q16695	P61830
Q6NXT2	P61830
P46940	Q12280
Q13576	Q12280
Q86VI3	Q12280
O43314	Q06685
Q6PFW1	Q06685
O75843	Q12028
O43747	Q12028
Q9NQ55	P38789
Q9NQ55	Q12153
Q92484	Q04119
Q92485	Q04119
P17405	Q04119
P52948	Q02629
P52948	P49687
Q15366	P38151
Q15365	P38151
P57723	P38151
P57721	P38151
P46934	P39940
Q96PU5	P39940
Q8IVV7	P38263
Q8IVV7	P53242
O95336	P37262
O95336	P50278
O95336	P53315
O95336	P38858
Q99700	P53297
Q8WWM7	P53297
P37235	Q06389
P62166	Q06389
P61601	Q06389
Q8N1I0	Q06409
Q92608	Q06409
Q14185	Q06409
Q8IZD9	Q06409
Q9H7D0	Q06409
P27482	P06787
P0DP24	P06787
P0DP25	P06787
P0DP23	P06787
Q9UNN4	P32773
P52655	P32773
O75746	Q12482
Q9UJS0	Q12482
P68104	P02994
Q5VTE0	P02994
Q05639	P02994
Q13627	P14680
Q9Y463	P14680
O43781	P14680
Q92630	P14680
Q9NR20	P14680
Q8WYH8	P50947
Q9NXR8	P50947
Q9UK53	P50947
Q9H160	P50947
Q9UNL4	P50947
Q96GD4	P38991
Q9UQB9	P38991
O14965	P38991
P31939	P54113
P31939	P38009
P10619	P38109
P10619	P00729
Q9NUV7	P40970
O15270	P40970
P14678	P40018
P63162	P40018
P62917	P0CX45
P62917	P0CX46
Q9H2D1	P39953
Q9H2D1	P40556
P37837	P53228
P37837	P15019
Q14410	P32190
P32189	P32190
Q14409	P32190
P68106	P20081
Q5VVH2	P20081
P62942	P20081
P16520	P18851
P62873	P18851
Q9HAV0	P18851
O14775	P18851
P62879	P18851
Q8IZF0	P50077
O60840	P50077
Q01668	P50077
Q13936	P50077
Q02750	P08018
P36507	P08018
Q13163	P08018
P61313	P05748
P61313	P54780
Q16654	P40530
Q15118	P40530
Q15119	P40530
Q15120	P40530
O14874	P40530
Q15014	Q12432
Q9UBU8	Q12432
A7KAX9	Q06407
A7KAX9	P39083
Q16594	Q05027
Q9HBM6	Q05027
P31689	P25491
Q8WW22	P25491
O60884	P25491
O60784	Q06336
O60784	P38817
P07437	P02557
Q3ZCM7	P02557
Q13885	P02557
P68371	P02557
P04350	P02557
Q9BVA1	P02557
Q9BUF5	P02557
Q13509	P02557
A6NNZ2	P02557
Q9H4B7	P02557
Q14651	P32599
P13797	P32599
P13796	P32599
P51153	P07560
P61026	P07560
Q92930	P07560
P61006	P07560
Q9ULC8	Q06551
Q8IZN3	Q06551
Q9C0B5	Q06551
Q9Y397	Q06551
Q9NUE0	Q06551
P36222	Q06350
Q9BZP6	Q06350
Q15782	Q06350
Q12889	Q06350
Q13231	Q06350
Q16526	P05066
Q49AN0	P05066
Q00796	Q07993
Q00796	P35497
Q00796	Q07786
Q9UQ84	P39875
Q9UQ84	Q12086
P23634	P38929
P20020	P38929
Q16720	P38929
Q01814	P38929
P38646	P0CS90
P38646	P39987
P62861	P0CX33
P62861	P0CX34
Q8IWE4	Q12395
Q6PH85	Q12395
Q92564	Q12395
Q96GG9	Q12395
Q9BTE7	Q12395
P26373	P40212
P26373	Q12690
Q9BX51	Q05902
P36268	Q05902
A6NGU5	Q05902
B5MD39	Q05902
P19440	Q05902
Q14390	Q05902
Q13613	P47147
Q13615	P47147
Q9Y216	P47147
Q96EF0	P47147
Q13614	P47147
Q9NYA4	P47147
Q96QG7	P47147
Q9Y217	P47147
Q13496	P47147
Q96GA7	P25379
P20132	P25379
Q5BKT4	P50076
Q5I7T1	P50076
Q5T6C5	P53165
Q9ULK2	P53165
O15265	P53165
Q5TBA9	P40468
O94915	P40468
P46977	P39007
Q8TCJ2	P39007
P48163	P36013
P23368	P36013
Q16798	P36013
P51793	P37020
P51790	P37020
P51795	P37020
Q9UIV1	P39008
Q9UFF9	P39008
Q9Y6Y8	Q12204
O94830	Q12204
Q8NEL9	Q12204
P61923	P53600
Q9P299	P53600
Q9BZJ4	P53320
Q8TBP6	P53320
Q96CS3	Q12229
Q9UNN5	Q12229
Q9ULW6	P25293
Q99733	P25293
P55209	P25293
Q99457	P25293
Q9UNW1	P24031
Q9UNW1	P52290
Q9UNW1	P00635
Q9UNW1	P35842
Q9UNW1	P38693
O75390	P08679
O75390	P00890
Q01415	P04385
Q01415	P13045
Q7Z739	Q06390
Q9BYJ9	Q06390
Q9Y5A9	Q06390
Q9BQ87	P38262
O60907	P38262
Q9BZK7	P38262
Q14004	Q03957
P50750	Q03957
Q9NYV4	Q03957
Q29RF7	Q04264
Q9NTI5	Q04264
P0DW13	Q04226
Q15544	Q04226
A0A1W2PPE2	Q04226
A0A1W2PR64	Q04226
P0DW12	Q04226
A0A1W2PQ09	Q04226
A6NLC8	Q04226
A0A1W2PPL8	Q04226
A0A1W2PPH5	Q04226
A0A1W2PPW3	Q04226
A0A1W2PRV1	Q04226
A0A1W2PP81	Q04226
P0DW14	Q04226
P0DW11	Q04226
A0A1W2PRN6	Q04226
P15085	P38836
Q9UI42	P38836
Q8WXQ8	P38836
P15088	P38836
Q8IVL8	P38836
P15086	P38836
Q8N4T0	P38836
Q96IY4	P38836
P48052	P38836
P08754	P10823
P29992	P10823
P11488	P10823
P09471	P10823
P19086	P10823
P50148	P10823
P19087	P10823
P04899	P10823
P63096	P10823
O95837	P10823
A8MTJ3	P10823
P30679	P10823
Q9C0D9	P22140
Q9C0D9	P17898
Q9BRC7	P32383
Q15147	P32383
Q9NQ66	P32383
Q15111	P32383
Q9UPR0	P32383
Q8N3E9	P32383
Q86YW0	P32383
Q8WV83	Q04083
Q8WV83	Q03730
O60346	P08678
Q6ZVD8	P08678
Q9NUN7	P38298
Q9NUN7	Q02896
Q8WZ82	Q99369
Q8WZ82	P38777
Q8WZ82	Q05015
Q9ULD4	Q12311
O95696	Q12311
P55201	Q12311
Q8IYD1	P05453
P15170	P05453
O43765	Q12118
Q96EQ0	Q12118
Q8WUH2	Q07468
Q96JC1	Q07468
Q9NRU3	Q12296
Q8NE01	Q12296
Q6P4Q7	Q12296
Q9H8M5	Q12296
Q99819	Q12434
P52565	Q12434
P52566	Q12434
P43353	Q04458
P30838	Q04458
P51648	Q04458
P48448	Q04458
P40306	P25043
Q99436	P25043
Q96EB6	P06700
Q96EB6	P53685
Q92611	P38888
Q9BZQ6	P38888
Q9BV94	P38888
P51003	P29468
Q9NRJ5	P29468
Q9BWT3	P29468
Q96Q80	Q12743
Q9GZP9	Q12743
Q9BUN8	Q12743
P31513	P38866
P31512	P38866
Q01740	P38866
Q99518	P38866
P49326	P38866
O60774	P38866
Q96RG2	Q08217
Q96RG2	P31374
O14925	P32897
Q5SRD1	P32897
Q9Y2P4	P38225
Q6P1M0	P38225
O14975	P38225
Q6PCB7	P38225
Q9Y2P5	P38225
Q5K4L6	P38225
Q9UP52	P47161
P02786	P47161
Q04609	P47161
Q9Y3Q0	P47161
Q9HBA9	P47161
Q9UQQ1	P47161
Q14BN4	Q06001
Q14BN4	Q03944
P62993	Q06449
P62993	P53281
Q5HYK7	Q06449
Q5HYK7	P53281
Q9H009	P38879
O15069	P38879
Q9BZK3	P38879
E9PAV3	P38879
P63220	Q3E754
P63220	P0C0V8
P61353	P0C2H6
P61353	P0C2H7
P62269	P0CX56
P62269	P0CX55
O60566	P47074
O60566	P41695
O43683	P47074
O43683	P41695
Q99595	P39515
O60830	P39515
Q9H7J1	P40187
Q9H7J1	P40036
Q9UQK1	P40187
Q9UQK1	P40036
Q86XI6	P40187
Q86XI6	P40036
O95685	P40187
O95685	P40036
Q16821	P40187
Q16821	P40036
Q9UHQ9	Q12746
Q9UHQ9	P38626
P00387	Q12746
P00387	P38626
Q6BCY4	Q12746
Q6BCY4	P38626
Q9UJY4	Q06336
Q9UJY4	P38817
Q9NZ52	Q06336
Q9NZ52	P38817
Q6ZVM7	Q06336
Q6ZVM7	P38817
Q9UJY5	Q06336
Q9UJY5	P38817
Q96T66	Q06178
Q96T66	P53204
Q9HAN9	Q06178
Q9HAN9	P53204
Q5XG87	P53632
Q5XG87	P48561
Q8NDF8	P53632
Q8NDF8	P48561
Q8NBN3	P38745
Q8NBN3	P32857
Q96K49	P38745
Q96K49	P32857
P49841	P50873
P49841	P38615
P49840	P50873
P49840	P38615
P34896	P37292
P34896	P37291
P34897	P37292
P34897	P37291
P55316	P41813
P55316	P40466
Q5VYV0	P41813
Q5VYV0	P40466
Q92949	P41813
Q92949	P40466
Q12951	P41813
Q12951	P40466
P85037	P41813
P85037	P40466
Q9UPW0	P41813
Q9UPW0	P40466
Q12948	P41813
Q12948	P40466
Q01167	P41813
Q01167	P40466
A8MTJ6	P41813
A8MTJ6	P40466
Q99853	P41813
Q99853	P40466
Q99958	P41813
Q99958	P40466
Q12952	P41813
Q12952	P40466
Q12950	P41813
Q12950	P40466
Q6ZQN5	P41813
Q6ZQN5	P40466
P08238	P15108
P08238	P02829
P07900	P15108
P07900	P02829
P25440	P35817
P25440	Q07442
Q15059	P35817
Q15059	Q07442
Q58F21	P35817
Q58F21	Q07442
O60885	P35817
O60885	Q07442
Q9ULV0	P19524
Q9ULV0	P32492
Q9Y4I1	P19524
Q9Y4I1	P32492
P61204	P11076
P61204	P19146
P84085	P11076
P84085	P19146
P84077	P11076
P84077	P19146
P18085	P11076
P18085	P19146
P20339	P36019
P20339	P36017
P61020	P36019
P61020	P36017
P51148	P36019
P51148	P36017
P30301	P0CD98
P30301	P0CD91
P29972	P0CD98
P29972	P0CD91
P55087	P0CD98
P55087	P0CD91
P55064	P0CD98
P55064	P0CD91
P41181	P0CD98
P41181	P0CD91
Q13520	P0CD98
Q13520	P0CD91
Q99805	P32802
Q99805	Q04562
Q92544	P32802
Q92544	Q04562
Q6Y7W6	Q02875
Q6Y7W6	P32909
O75420	Q02875
O75420	P32909
Q9BX95	P23501
Q9BX95	P47013
Q8IWX5	P23501
Q8IWX5	P47013
P36871	P37012
P36871	P33401
Q15124	P37012
Q15124	P33401
P53985	P53918
P53985	Q08268
P53985	Q08777
Q7RTY1	P53918
Q7RTY1	Q08268
Q7RTY1	Q08777
O95907	P53918
O95907	Q08268
O95907	Q08777
Q8TF71	P53918
Q8TF71	Q08268
Q8TF71	Q08777
O15374	P53918
O15374	Q08268
O15374	Q08777
O15403	P53918
O15403	Q08268
O15403	Q08777
O15375	P53918
O15375	Q08268
O15375	Q08777
O15427	P53918
O15427	Q08268
O15427	Q08777
Q8NCK7	P53918
Q8NCK7	Q08268
Q8NCK7	Q08777
O60669	P53918
O60669	Q08268
O60669	Q08777
Q7RTY0	P53918
Q7RTY0	Q08268
Q7RTY0	Q08777
Q7RTX9	P53918
Q7RTX9	Q08268
Q7RTX9	Q08777
Q6ZSM3	P53918
Q6ZSM3	Q08268
Q6ZSM3	Q08777
O60264	P38144
O60264	Q08773
P28370	P38144
P28370	Q08773
P68366	P09733
P68366	P09734
Q9NY65	P09733
Q9NY65	P09734
Q6PEY2	P09733
Q6PEY2	P09734
P0DPH7	P09733
P0DPH7	P09734
P68363	P09733
P68363	P09734
Q71U36	P09733
Q71U36	P09734
Q9BQE3	P09733
Q9BQE3	P09734
P0DPH8	P09733
P0DPH8	P09734
A6NHL2	P09733
A6NHL2	P09734
P46976	P36143
P46976	P47011
O15488	P36143
O15488	P47011
P54687	P47176
P54687	P38891
O15382	P47176
O15382	P38891
P62837	P15732
P62837	P15731
P61077	P15732
P61077	P15731
P51668	P15732
P51668	P15731
Q9Y2X8	P15732
Q9Y2X8	P15731
Q96A54	Q03419
Q96A54	Q12442
Q86V24	Q03419
Q86V24	Q12442
P06733	P00924
P06733	P42222
P06733	P00925
P06733	P0CX11
P06733	P0CX10
P13929	P00924
P13929	P42222
P13929	P00925
P13929	P0CX11
P13929	P0CX10
P09104	P00924
P09104	P42222
P09104	P00925
P09104	P0CX11
P09104	P0CX10
P14618	P52489
P14618	P00549
P30613	P52489
P30613	P00549
Q9GZU7	Q07800
Q9GZU7	Q07949
O15194	Q07800
O15194	Q07949
O14595	Q07800
O14595	Q07949
Q9BVK6	P38819
Q9BVK6	P53198
Q9BVK6	Q05359
Q7Z7H5	P38819
Q7Z7H5	P53198
Q7Z7H5	Q05359
O15056	P40559
O15056	Q12271
O15056	P50942
O43426	P40559
O43426	Q12271
O43426	P50942
P10599	P22803
P10599	P22217
Q86VQ3	P22803
Q86VQ3	P22217
P51531	P32597
P51531	P22082
P51532	P32597
P51532	P22082
Q3MJ16	P39105
Q3MJ16	Q08108
Q3MJ16	P53541
Q3MJ16	Q03674
Q68DD2	P39105
Q68DD2	Q08108
Q68DD2	P53541
Q68DD2	Q03674
Q86XP0	P39105
Q86XP0	Q08108
Q86XP0	P53541
Q86XP0	Q03674
P0C869	P39105
P0C869	Q08108
P0C869	P53541
P0C869	Q03674
Q9UP65	P39105
Q9UP65	Q08108
Q9UP65	P53541
Q9UP65	Q03674
P47712	P39105
P47712	Q08108
P47712	P53541
P47712	Q03674
Q9UDX3	P24280
Q9UDX3	P33324
O43304	P24280
O43304	P33324
Q92503	P24280
Q92503	P33324
O76054	P24280
O76054	P33324
B5MCN3	P24280
B5MCN3	P33324
Q9UDX4	P24280
Q9UDX4	P33324
Q9NRA0	Q12246
Q9NRA0	Q06147
Q9NYA1	Q12246
Q9NYA1	Q06147
Q8N335	P41911
Q8N335	Q00055
P21695	P41911
P21695	Q00055
P0C0S8	P04912
P0C0S8	P04911
Q6FI13	P04912
Q6FI13	P04911
P04908	P04912
P04908	P04911
P20671	P04912
P20671	P04911
Q96QV6	P04912
Q96QV6	P04911
Q9BTM1	P04912
Q9BTM1	P04911
Q8IUE6	P04912
Q8IUE6	P04911
Q99878	P04912
Q99878	P04911
Q7L7L0	P04912
Q7L7L0	P04911
P16104	P04912
P16104	P04911
Q93077	P04912
Q93077	P04911
Q96KK5	P04912
Q96KK5	P04911
Q16777	P04912
Q16777	P04911
O75874	P41939
O75874	P21954
O75874	P53982
P48735	P41939
P48735	P21954
P48735	P53982
Q8WUD6	P22140
Q8WUD6	P17898
Q9Y6K0	P22140
Q9Y6K0	P17898
Q2VYF4	Q06493
Q2VYF4	Q08179
O95202	Q06493
O95202	Q08179
P14635	P24868
P14635	P24869
P14635	P24870
O95067	P24868
O95067	P24869
O95067	P24870
Q9GZV4	P23301
Q9GZV4	P19211
P63241	P23301
P63241	P19211
Q6IS14	P23301
Q6IS14	P19211
Q8N8R3	P38087
Q8N8R3	P32331
O43772	P38087
O43772	P32331
Q8N490	Q12320
Q8N490	Q05584
Q6PII5	Q12320
Q6PII5	Q05584
Q16775	Q12320
Q16775	Q05584
Q93050	P37296
Q93050	P32563
Q13488	P37296
Q13488	P32563
Q9Y487	P37296
Q9Y487	P32563
Q9HBG4	P37296
Q9HBG4	P32563
A0A8I5KQE6	P32905
A0A8I5KQE6	P46654
P08865	P32905
P08865	P46654
P61513	P0CX25
P61513	P0CX26
A6NKH3	P0CX25
A6NKH3	P0CX26
Q13085	Q00955
Q13085	P32874
O00763	Q00955
O00763	P32874
Q92575	P47049
Q92575	P38349
Q04323	P47049
Q04323	P38349
Q9NRZ7	P38226
Q9NRZ7	Q12185
Q6UWP7	P38226
Q6UWP7	Q12185
Q9NRZ5	P38226
Q9NRZ5	Q12185
Q2TB90	P04806
Q2TB90	P04807
Q2TB90	Q04409
Q2TB90	P17709
P52789	P04806
P52789	P04807
P52789	Q04409
P52789	P17709
P52790	P04806
P52790	P04807
P52790	Q04409
P52790	P17709
P35557	P04806
P35557	P04807
P35557	Q04409
P35557	P17709
P19367	P04806
P19367	P04807
P19367	Q04409
P19367	P17709
P16298	P14747
P16298	P23287
P48454	P14747
P48454	P23287
Q08209	P14747
Q08209	P23287
O15523	P06634
O15523	P24784
O00571	P06634
O00571	P24784
Q9NZM3	P51862
Q9NZM3	P53046
Q9NR81	P51862
Q9NR81	P53046
Q15811	P51862
Q15811	P53046
Q7Z628	P51862
Q7Z628	P53046
P0CK96	P22215
P0CK96	P39542
Q96K37	P22215
Q96K37	P39542
Q8WWV3	P39945
Q8WWV3	P28625
Q8WWV3	P35183
Q08257	P39945
Q08257	P28625
Q08257	P35183
Q9H0I9	P33315
Q9H0I9	P23254
P51854	P33315
P51854	P23254
P29401	P33315
P29401	P23254
Q8TD30	P52893
Q8TD30	P52892
P24298	P52893
P24298	P52892
Q96SE0	Q02891
Q96SE0	P38295
Q96SE0	Q03649
Q8WU67	Q02891
Q8WU67	P38295
Q8WU67	Q03649
Q9NQ39	Q08745
Q9NQ39	P46784
P46783	Q08745
P46783	P46784
P42677	P38711
P42677	P35997
Q71UM5	P38711
Q71UM5	P35997
P11801	P27466
P11801	P22517
Q96QS6	P27466
Q96QS6	P22517
Q14012	P27466
Q14012	P22517
Q16566	P27466
Q16566	P22517
Q6P2M8	P27466
Q6P2M8	P22517
Q96NX5	P27466
Q96NX5	P22517
Q8NCB2	P27466
Q8NCB2	P22517
Q8IU85	P27466
Q8IU85	P22517
O95487	P53953
O95487	P40482
O95486	P53953
O95486	P40482
Q96K17	P40314
Q96K17	Q02642
P20290	P40314
P20290	Q02642
Q86VL8	Q05497
Q86VL8	P38767
Q96FL8	Q05497
Q96FL8	P38767
Q5T5C0	Q12038
Q5T5C0	P38163
Q15334	Q12038
Q15334	P38163
Q6P1M3	Q12038
Q6P1M3	P38163
Q9Y2K9	Q12038
Q9Y2K9	P38163
P67775	P23595
P67775	P23594
P62714	P23595
P62714	P23594
Q3MIR4	P53740
Q3MIR4	P42838
Q3MIR4	P25656
Q9NV96	P53740
Q9NV96	P42838
Q9NV96	P25656
Q9UBP0	P40328
Q9UBP0	P39955
Q6PIW4	P40328
Q6PIW4	P39955
P00367	P07262
P00367	P39708
P49448	P07262
P49448	P39708
Q8TB40	Q04623
Q8TB40	Q12385
Q8WTS1	Q04623
Q8WTS1	Q12385
Q9NVF9	P20485
Q9NVF9	Q03764
Q9HBU6	P20485
Q9HBU6	Q03764
P35790	P20485
P35790	Q03764
Q9Y259	P20485
Q9Y259	Q03764
P83881	P0CX27
P83881	P0CX28
Q969Q0	P0CX27
Q969Q0	P0CX28
Q6A1A2	Q03407
Q6A1A2	Q12236
O15530	Q03407
O15530	Q12236
O75317	P38187
O75317	P39967
P62068	P38187
P62068	P39967
Q6STE5	P25632
Q6STE5	P53628
Q96GM5	P25632
Q96GM5	P53628
Q92925	P25632
Q92925	P53628
Q8NBR6	P53155
Q8NBR6	Q08930
Q8N5J2	P53155
Q8N5J2	Q08930
Q9NUB1	Q01574
Q9NUB1	P52910
Q9NR19	Q01574
Q9NR19	P52910
O14556	P00358
O14556	P00360
O14556	P00359
P04406	P00358
P04406	P00360
P04406	P00359
P23497	P11632
P23497	P11633
B2RPK0	P11632
B2RPK0	P11633
O15347	P11632
O15347	P11633
P09429	P11632
P09429	P11633
Q8WW32	P11632
Q8WW32	P11633
P26583	P11632
P26583	P11633
O60641	P53309
O60641	P38856
Q13492	P53309
Q13492	P38856
P31153	P19358
P31153	P10659
Q00266	P19358
Q00266	P10659
Q12965	P36006
Q12965	Q04439
O00160	P36006
O00160	Q04439
P23763	P31109
P23763	P33328
Q15836	P31109
Q15836	P33328
O75379	P31109
O75379	P33328
P63027	P31109
P63027	P33328
P22612	P06244
P22612	P06245
P22612	P05986
P22694	P06244
P22694	P06245
P22694	P05986
P17612	P06244
P17612	P06245
P17612	P05986
P51817	P06244
P51817	P06245
P51817	P05986
P49281	P38778
P49281	Q12078
P49281	P38925
P49279	P38778
P49279	Q12078
P49279	P38925
P45877	P23285
P45877	P35176
P23284	P23285
P23284	P35176
Q9P0L0	Q6Q595
Q9P0L0	P40075
O95292	Q6Q595
O95292	P40075
P45880	P04840
P45880	P40478
Q9Y277	P04840
Q9Y277	P40478
P21796	P04840
P21796	P40478
Q8IWV7	Q07963
Q8IWV7	P19812
Q8IWV8	Q07963
Q8IWV8	P19812
Q6ZT12	Q07963
Q6ZT12	P19812
Q8N608	P18962
Q8N608	P33894
P27487	P18962
P27487	P33894
Q12884	P18962
Q12884	P33894
P42658	P18962
P42658	P33894
Q9NRF8	P38627
Q9NRF8	P28274
P17812	P38627
P17812	P28274
Q495M3	P50944
Q495M3	P36062
Q6YBV0	P50944
Q6YBV0	P36062
Q7Z2H8	P50944
Q7Z2H8	P36062
Q495N2	P50944
Q495N2	P36062
P12268	P38697
P12268	P50094
P12268	P50095
P20839	P38697
P20839	P50094
P20839	P50095
Q96DC8	Q05871
Q96DC8	Q08558
Q9Y232	Q05871
Q9Y232	Q08558
Q9Y6F8	Q05871
Q9Y6F8	Q08558
Q8N8U2	Q05871
Q8N8U2	Q08558
Q9Y6F7	Q05871
Q9Y6F7	Q08558
Q13011	Q05871
Q13011	Q08558
Q8N2W9	Q12216
Q8N2W9	Q04195
O75925	Q12216
O75925	Q04195
Q9Y6X2	Q12216
Q9Y6X2	Q04195
O75928	Q12216
O75928	Q04195
P12236	P18239
P12236	P04710
P12236	P18238
P05141	P18239
P05141	P04710
P05141	P18238
P12235	P18239
P12235	P04710
P12235	P18238
Q9H0C2	P18239
Q9H0C2	P04710
Q9H0C2	P18238
Q5SRH9	P47031
Q5SRH9	P36114
Q8N584	P47031
Q8N584	P36114
Q5VTQ0	P47031
Q5VTQ0	P36114
Q04637	P39936
Q04637	P39935
O43432	P39936
O43432	P39935
P78344	P39936
P78344	P39935
P10301	P01120
P10301	P01119
P62070	P01120
P62070	P01119
P54840	P27472
P54840	P23337
P13807	P27472
P13807	P23337
O43741	P34164
O43741	Q04739
Q9Y478	P34164
Q9Y478	Q04739
P61254	P05743
P61254	P53221
Q9UNX3	P05743
Q9UNX3	P53221
Q9BW60	P25358
Q9BW60	P40319
Q9BW60	P39540
A1L3X0	P25358
A1L3X0	P40319
A1L3X0	P39540
Q9GZR5	P25358
Q9GZR5	P40319
Q9GZR5	P39540
Q9NXB9	P25358
Q9NXB9	P40319
Q9NXB9	P39540
Q9NYP7	P25358
Q9NYP7	P40319
Q9NYP7	P39540
Q6XR72	P32798
Q6XR72	P20107
Q9Y6M5	P32798
Q9Y6M5	P20107
O95197	Q04947
O95197	Q12443
O75298	Q04947
O75298	Q12443
Q9NQC3	Q04947
Q9NQC3	Q12443
Q16799	Q04947
Q16799	Q12443
Q96CP6	P43560
Q96CP6	Q06681
Q96CP6	P38800
Q3KR37	P43560
Q3KR37	Q06681
Q3KR37	P38800
Q8IYS0	P43560
Q8IYS0	Q06681
Q8IYS0	P38800
Q8IUH5	P39010
Q8IUH5	Q12013
Q8IUH4	P39010
Q8IUH4	Q12013
P21108	P38620
P21108	P38063
P21108	P38689
P11908	P38620
P11908	P38063
P11908	P38689
P60891	P38620
P60891	P38063
P60891	P38689
Q8TDB8	P38142
Q8TDB8	P53142
Q9BYW1	P38142
Q9BYW1	P53142
Q9NRM0	P38142
Q9NRM0	P53142
P11166	P38142
P11166	P53142
P14672	P38142
P14672	P53142
Q6PXP3	P38142
Q6PXP3	P53142
P22732	P38142
P22732	P53142
P11169	P38142
P11169	P53142
P11168	P38142
P11168	P53142
P43694	P18494
P43694	P42944
P43694	P43574
Q9BWX5	P18494
Q9BWX5	P42944
Q9BWX5	P43574
P15976	P18494
P15976	P42944
P15976	P43574
P23769	P18494
P23769	P42944
P23769	P43574
P23771	P18494
P23771	P42944
P23771	P43574
Q92908	P18494
Q92908	P42944
Q92908	P43574
A0A0B4J2A2	P25719
A0A0B4J2A2	P14832
P30405	P25719
P30405	P14832
Q9Y536	P25719
Q9Y536	P14832
Q9UNP9	P25719
Q9UNP9	P14832
P62937	P25719
P62937	P14832
O95373	P46970
O95373	Q04175
O15397	P46970
O15397	Q04175
Q96N28	Q04006
Q96N28	P35200
Q9Y3B1	Q04006
Q9Y3B1	P35200
P32119	P34760
P32119	Q04120
Q06830	P34760
Q06830	Q04120
P30048	P34760
P30048	Q04120
Q13162	P34760
Q13162	Q04120
Q15363	P39704
Q15363	Q12450
Q9Y3B3	P39704
Q9Y3B3	Q12450
Q8N5S9	P43637
Q8N5S9	P38990
Q96RR4	P43637
Q96RR4	P38990
Q96QE2	P30606
Q96QE2	Q04162
Q96QE2	P30605
Q8TD20	P30606
Q8TD20	Q04162
Q8TD20	P30605
P11586	P07245
P11586	P09440
Q6UB35	P07245
Q6UB35	P09440
Q8WY21	P40890
Q8WY21	P40438
Q8WY21	P53751
Q8WY21	P25657
Q8WY21	P32319
Q96PQ0	P40890
Q96PQ0	P40438
