W5XKT8	A0A8M9PDM1
Q8IZA0	A0A8M2B6J5
Q8IZA3	A0A8M2BLX3
Q8IZD0	A0A8M1RMD2
Q8IZD2	A0A8M9Q6C7
Q8IZD4	A3KNZ0
Q8IZD6	A7MBM1
Q8IZD9	A0A8M6YXG5
Q8IZE3	Q803U0
Q8IZF0	A0A8M2BF56
Q8IZF6	A0A140LGW6
Q8IZH2	A0A8M1PFH0
Q8IZJ1	A9JR35
Q8IZJ3	A0A8M1RP87
Q8IZK6	Q803Y8
Q8IZL2	A0A8M1RIA2
Q8IZL8	A0A8M1PSB8
Q8IZL9	A8WIP6
Q8IZM8	A0A8M1RN53
Q8IZM9	Q503G8
Q8IZN3	E9QCD3
Q8IZP9	A0A8M2B9R8
Q8IZQ1	A0A8M2BCS8
Q8IZQ5	A0A8M1PAE4
Q8IZQ8	A0A8M2BGQ6
Q8IZR5	Q6DGM6
Q8IZT6	A0A8M2B8W4
Q8IZU2	A0A8M3AR08
Q8IZU3	Q1RLP7
Q8IZU8	A0A8N7UTD6
Q8IZV2	A1L255
Q8J025	E7F3Y0
Q8N0S6	Q6DRD4
Q8N0T1	X1WDU0
Q8N0U4	A0A8M1RMU3
Q8N0U7	A0A8M3AVR8
Q8N0U8	Q502B2
Q8N0V3	F1QXS7
Q8N0V4	Q2HPG1
Q8N0W3	A0A8M3B6Y7
Q8N0W5	B3DI10
Q8N0X2	A0A8M1RJN5
Q8N0X4	Q1JPT8
Q8N0Z2	Q68EG8
Q8N0Z3	Q5PRD5
Q8N0Z6	Q567H0
Q8N0Z8	A0A8N7TE54
Q8N0Z9	B0CLX4
Q8N100	Q8AW52
Q8N108	A0A8M1P0M2
Q8N119	A0A0N9E2K8
Q8N122	A0A0R4IFI0
Q8N129	Q2L6K8
Q8N131	A0A8M9PW00
Q8N136	Q1LV15
Q8N137	A0A8M9PLF1
Q8N138	Q5XJR6
Q8N142	Q6NSN5
Q8N145	Q2HPG0
Q8N157	A0A8M1P8J8
Q8N159	E7FCP8
Q8N163	A0A8N7UVX0
Q8N165	Q32PP3
Q8N183	A9C3R5
Q8N187	A0A8M9QJZ6
Q8N1A0	A0A8M1PV69
Q8N1A6	Q6P2T7
Q8N1B4	A0A8M3AK60
Q8N1C3	A0A8M3B7W8
Q8N1D5	E7F2M2
Q8N1F7	Q7ZU29
Q8N1F8	A0A8M2BDQ2
Q8N1G1	A0A8M1NJD4
Q8N1G2	Q803R5
Q8N1G4	A8WFY2
Q8N1I0	E9QJL8
Q8N1K5	A5PF62
Q8N1P7	A0A8M3AL91
Q8N1S5	A0A8M9PXG7
Q8N1V2	Q502N0
Q8N201	A0A0R4IJ75
Q8N228	A0A8M1PRS4
Q8N239	A0A8M2B9Q0
Q8N264	A0A0R4IRU6
Q8N2A8	A3KNW0
Q8N2C7	A0A8M3B3C0
Q8N2E2	A0A0R4IWA2
Q8N2G6	A5D8K9
Q8N2G8	F1QSN8
Q8N2H3	A0A8M1P3E6
Q8N2H4	A0A8N7UZY0
Q8N2I9	A0A8M9NZS1
Q8N2K0	Q08C93
Q8N2K1	A4QNV0
Q8N2M4	Q5BLD1
Q8N2M8	A0A8M1N962
Q8N2Q7	D2X2F9
Q8N2R8	Q6NXA7
Q8N2U0	Q568J8
Q8N2U9	A0A8M9PH02
Q8N2W9	F1R4C4
Q8N2Y8	A0A8M2BCE9
Q8N2Z9	B3DJV8
Q8N300	P0C8M3
Q8N302	A0A8M9PIC1
Q8N335	Q5XIZ6
Q8N336	A0A8M9P3G2
Q8N344	A0A8M9PJL0
Q8N357	Q6DGU7
Q8N365	Q1LXW3
Q8N370	A0A2R8QSV3
Q8N371	A8E534
Q8N392	A0A8M1Q7T1
Q8N394	A0A8M9PQN7
Q8N398	A0A8M9P1N5
Q8N3A8	Q08CN1
Q8N3C0	E7F8F4
Q8N3F0	P0C8M4
Q8N3F8	E7FA45
Q8N3G9	A8KC42
Q8N3I7	Q7ZWB7
Q8N3J2	E7F6U3
Q8N3J3	I3ISZ9
Q8N3J5	A0A8M1P874
Q8N3K9	B3DJR0
Q8N3L3	Q5RIN3
Q8N3P4	A0A8M3AQ47
Q8N3R3	F1QHT7
Q8N3R9	Q8JHF4
Q8N3U4	A0A0R4IZR5
Q8N3V7	A0A2R8QMT1
Q8N3X1	F1QGN0
Q8N3X6	A0A8M3AGU5
Q8N3Y1	A9JRF9
Q8N3Z3	B0S8I0
Q8N3Z6	A0A8M3B5M8
Q8N412	Q08BC4
Q8N413	A0A8M1RH87
Q8N414	A0A8M1NRL7
Q8N428	A0A8M1Q1T5
Q8N434	Q1LVS8
Q8N436	A0A8M9Q9B3
Q8N441	Q7SX76
Q8N442	A0A8M3AZI5
Q8N448	F1R5N4
Q8N456	R4GEA8
Q8N461	I3ITN3
Q8N465	A1L258
Q8N475	B3DH26
Q8N485	A2BF97
Q8N488	Q5EG55
Q8N490	A0A8M1P2H3
Q8N4A0	Q5CZV4
Q8N4B1	A0A8M2B9I6
Q8N4B5	F1Q501
Q8N4C6	A0A8M3AZC8
Q8N4C7	A0A8M9QK10
Q8N4C8	A0A8M9QDG2
Q8N4F7	A0A8M1P4N4
Q8N4G2	B8JLB2
Q8N4H0	Q7T2B2
Q8N4H5	F6NZ76
Q8N4J0	A0A8M2BJ21
Q8N4K4	A5PLA0
Q8N4L2	Q1LWC3
Q8N4L8	A0A8M2BAU6
Q8N4N3	Q503R4
Q8N4P3	Q568P1
Q8N4P6	Q1L8U9
Q8N4Q1	Q6DEI8
Q8N4S0	Q7SYI8
Q8N4T0	E7F2H8
Q8N4T4	B0R089
Q8N4T8	Q6P0H7
Q8N4U5	Q5RGW3
Q8N4V1	Q6TLE4
Q8N4V2	A0A8M2BCL8
Q8N4W6	A0A8M1PS19
Q8N4X5	A0A8M9Q402
Q8N4Y2	A1A600
Q8N511	A8E5C6
Q8N531	A0A8M1P1L5
Q8N543	A0A8M1PED0
Q8N554	A0A8M9PUR8
Q8N556	A0A8M2B299
Q8N565	Q6GQM0
Q8N567	Q7ZUI6
Q8N568	A2A121
Q8N573	A0A8M9PD70
Q8N584	Q1LXE6
Q8N594	Q08CH3
Q8N5A5	Q7SXW2
Q8N5B7	Q7T3F1
Q8N5C6	A0A8M9QFT1
Q8N5C7	Q5XJ56
Q8N5C8	A4IFZ0
Q8N5D0	B3DJF2
Q8N5G0	A0A2R8Q9H3
Q8N5G2	Q2TLY2
Q8N5H7	A0A8M2B1T6
Q8N5I2	A0A8M9PW76
Q8N5I4	B8A5W4
Q8N5I9	A0A8M1P1M8
Q8N5J2	A3KQS4
Q8N5J4	Q66IC6
Q8N5K1	Q7T326
Q8N5L8	Q6DGS1
Q8N5M1	A3KP55
Q8N5M4	Q7ZUI3
Q8N5M9	Q5XJX0
Q8N5R6	A0A8M6Z4I6
Q8N5T2	Q7SXU2
Q8N5U6	A0A8M1NIH6
Q8N5V2	E7FDB4
Q8N5W9	A0A8M1RHN8
Q8N5X7	Q66HY7
Q8N5Y8	Q6NX05
Q8N5Z0	A0A8N7TEE2
Q8N653	A1L1Q7
Q8N668	B8A6D0
Q8N680	F2Z4W3
Q8N682	Q5XJL0
Q8N695	Q3ZMH1
Q8N697	A0A0R4ICA5
Q8N699	Q5SNQ9
Q8N6D2	Q0P447
Q8N6D5	Q502M6
Q8N6F1	A0A8M6Z925
Q8N6F8	F1QE45
Q8N6G5	A0A8M1NHC5
Q8N6H7	A0A8M2B5S0
Q8N6I4	Q5TZA3
Q8N6K7	A0A8M2BB39
Q8N6L1	Q0P494
Q8N6M0	Q7ZV00
Q8N6M3	Q52KL1
Q8N6M5	Q6DGA6
Q8N6M6	B0V1A5
Q8N6N2	Q1LXX9
Q8N6N3	Q7SZP2
Q8N6N6	Q5D014
Q8N6N7	Q4V8S5
Q8N6Q8	A0A8M1N9Y4
Q8N6R0	A5WVX1
Q8N6R1	B0V1G1
Q8N6S4	Q7ZUV0
Q8N6S5	E7F1I2
Q8N6T0	B3DIP6
Q8N6T3	Q5U370
Q8N6T7	Q6IQK0
Q8N6V4	Q08BN1
Q8N6V9	A0A8M1P8Y3
Q8N6W0	A0A8M9PVC1
Q8N6Y1	E7F9B5
Q8N6Y2	F1R0N0
Q8N755	Q66I89
Q8N766	A0A8M2B912
Q8N7H5	Q4U0S5
Q8N7J2	F1QGH6
Q8N7M0	Q66IC8
Q8N7P1	A0A8M1RIN8
Q8N7R7	Q08CI4
Q8N7U6	E7F7T9
Q8N7W2	A0A8M6Z224
Q8N7X0	A0A8M3B490
Q8N801	A0A8M1P9C4
Q8N806	Q803P8
Q8N815	A0A8M1QUU2
Q8N841	A8CVX7
Q8N865	A0A8M3AQJ3
Q8N884	F1QCP4
Q8N895	E7F2K0
Q8N8A2	E7FC91
Q8N8A6	Q6DRI7
Q8N8B7	A0A8M9Q5X9
Q8N8D1	Q6DRL2
Q8N8E3	A0A8M1P9B8
Q8N8G2	Q4V8U0
Q8N8I0	A0A8M2B6P2
Q8N8J7	Q501T4
Q8N8K9	A0A8M2B2I4
Q8N8M0	E7FET0
Q8N8N0	Q58EC8
Q8N8N7	A0A8M1P4D1
Q8N8Q1	Q66HZ6
Q8N8Q8	A0A8M9PZ05
Q8N8Q9	A0A8M2BDB1
Q8N8R5	A0JMH2
Q8N8R7	Q0P4A1
Q8N8S7	A0A8M3B449
Q8N8U9	A6H8K2
Q8N8V4	Q6GMG7
Q8N8Z6	F1QGI1
Q8N944	A0A8M1PSK9
Q8N954	Q6DGZ0
Q8N957	A0A8M9QN10
Q8N960	A0A8M6Z7P2
Q8N961	A0A8M3AP57
Q8N966	X1WBB5
Q8N967	A0A8M9Q6C3
Q8N983	Q6DH43
Q8N987	Q568Q5
Q8N998	A8WG43
Q8N999	Q5PR55
Q8N9A8	Q561X0
Q8N9B5	Q6NVC9
Q8N9F0	A4IGD2
Q8N9F7	Q68EJ8
Q8N9H8	A0A8M9Q6C2
Q8N9H9	A0A8M3ANT6
Q8N9I5	A0A8M1RNR3
Q8N9I9	A0A8M3AVB3
Q8N9M1	Q1JQ47
Q8N9N2	Q566X5
Q8N9N5	Q502P7
Q8N9N7	Q6DHL5
Q8N9N8	Q7SY07
Q8N9Q2	Q3B7G7
Q8N9R8	A0A8M9PYR3
Q8N9T8	Q6DRJ4
Q8N9U0	A0A8M3B864
Q8N9V3	A0AUS0
Q8N9V6	A0A0R4IMF1
Q8N9V7	A0A8M3AVW5
Q8NA03	Q566N9
Q8NA23	A0A8M2BC93
Q8NA31	Q1LX29
Q8NA47	Q5U3R2
Q8NA54	A0A8M1RS07
Q8NA56	A0A8M6YTI4
Q8NA66	E7FDP1
Q8NA72	A0A8N7T784
Q8NAA4	A0A8M9P7L8
Q8NAA5	A0A8N7UUY9
Q8NAB2	A0A8M1PV51
Q8NAG6	Q6NUU1
Q8NAP3	A0A0R4IVZ9
Q8NAP8	Q1LUJ6
Q8NAT1	Q5NDE5
Q8NAT2	Q1L981
Q8NAV1	Q6DHU4
Q8NAX2	E7F2A2
Q8NB12	Q2MJQ9
Q8NB14	A0A8M1RIE1
Q8NB15	Q7ZZ00
Q8NB37	Q3B7H1
Q8NB46	Q502K3
Q8NB49	A0A8M3AS49
Q8NB59	A0A8M6Z9M8
Q8NB66	A0A8M2BII5
Q8NB78	A0A8M6YWK0
Q8NB90	A0A8M9Q017
Q8NB91	A0A8M6Z0K9
Q8NBA8	A0A8M9PQP1
Q8NBD8	Q08CG9
Q8NBE8	A0A8N7UUT7
Q8NBF1	A0A8M6YZY3
Q8NBF2	A0A8M3BE96
Q8NBF6	A0A8M1P335
Q8NBH2	A0A8M9PSF2
Q8NBI2	A3KPR5
Q8NBI3	Q4V9H3
Q8NBI6	E7F9V4
Q8NBJ7	Q5XJ75
Q8NBJ9	A0A8M9P7I2
Q8NBK3	A0A8M2BDC4
Q8NBL1	Q32LR4
Q8NBL3	Q08CE6
Q8NBM4	A1L247
Q8NBM8	A0A8M3AX62
Q8NBP0	B3DIY5
Q8NBP5	A0A8M1QKK6
Q8NBP7	A0A8M1RTA9
Q8NBQ7	A0A8M1P9I6
Q8NBR0	E7F4B0
Q8NBR6	F1RBY0
Q8NBS3	A0A8M2B2N8
Q8NBS9	A0A8M2B9N7
Q8NBT0	Q7ZVF0
Q8NBT2	Q503N2
Q8NBT3	A0A8N7T776
Q8NBU5	Q503W7
Q8NBV4	Q6P0E8
Q8NBW4	Q08BA4
Q8NBZ7	Q6GMI9
Q8NC06	Q6NV40
Q8NC24	Q1RLT5
Q8NC44	A0A8M2B745
Q8NC54	E7EY36
Q8NC67	A0A8M9Q8U8
Q8NC74	A0A8M2BLD6
Q8NCA5	X1WEE6
Q8NCC3	A0A8M1RTL2
Q8NCC5	A0A8M2BLQ3
Q8NCE0	Q08BW3
Q8NCE2	E7F0C5
Q8NCF5	A0A8M1P3N7
Q8NCG7	A0A8M3AXY9
Q8NCH0	Q805E5
Q8NCJ5	A7MBV6
Q8NCL8	A2BGS3
Q8NCM2	B3DJV7
Q8NCM8	A0A8M9PCL1
Q8NCN2	B0V1A3
Q8NCN4	E7FAP1
Q8NCN5	E7FC79
Q8NCP5	A0A8M2BJS0
Q8NCR0	Q502B3
Q8NCR3	A0A8M9Q873
Q8NCR9	A0A0G2KJ86
Q8NCT3	A0A286Y841
Q8NCU4	Q5M7X8
Q8NCV1	A0A8N7TDG9
Q8NCW5	Q6DHK1
Q8NCW6	F1R7M5
Q8NCX0	A0A8M6Z0Z0
Q8NCY6	E7EXN2
Q8ND04	A0A8N7T6K6
Q8ND23	A0A0P0CP42
Q8ND24	A0A8M1QKL4
Q8ND25	Q6P4U6
Q8ND76	A0A8M3ANE7
Q8ND83	A0A8M2BFG7
Q8NDC4	Q566N4
Q8NDD1	B3DHE5
Q8NDG6	B8A4F4
Q8NDH3	Q561T4
Q8NDI1	A0A8M2B4X7
Q8NDL9	Q68EI3
Q8NDM7	A0A8N7TBN9
Q8NDN9	B8A4R1
Q8NDV1	Q704S4
Q8NDV2	E7FGY4
Q8NDV3	A0A8M3AP39
Q8NDX2	Q1L8X9
Q8NDX5	A0A8M3AQB7
Q8NDX6	A0A8M2B9H4
Q8NDY3	Q5XJB9
Q8NDY6	Q4V9J8
Q8NDZ0	Q4V9E7
Q8NDZ2	A0A0R4IYT1
Q8NDZ6	Q7SY10
Q8NE00	E7F9F2
Q8NE09	A0A8M9PJQ5
Q8NE18	A0A8M6Z698
Q8NE22	A0A8M1PRU1
Q8NE31	A0A8M9Q8S2
Q8NE35	A0A8M3AZE0
Q8NE62	A0A8M1RM14
Q8NE71	Q6NV15
Q8NE79	Q5PQZ7
Q8NE86	Q08BI9
Q8NEA4	Q0D281
Q8NEA6	A0A8M6Z1B7
Q8NEB9	A0A8M9QGZ6
Q8NEC7	A0A8M1N6W6
Q8NEE6	A0A8M6YW52
Q8NEF3	A0A8M6Z0J8
Q8NEF9	Q6DI30
Q8NEG2	E7FD23
Q8NEG5	A6H8U0
Q8NEG7	Q803T4
Q8NEH6	Q6PBA8
Q8NEJ9	Q6PFJ1
Q8NEM0	A0A8M2B3G0
Q8NEM2	Q6PFI4
Q8NEM7	A0A8M1QV20
Q8NEN0	F1QBI9
Q8NEN9	E7F7C3
Q8NEP3	Q7ZV84
Q8NER5	A0A8M9PSI8
Q8NES3	Q8JHF2
Q8NEU8	B2XCM0
Q8NEV4	Q90XG6
Q8NEW0	A5PMX1
Q8NEW7	D2ITC5
Q8NEY1	A0A8M6Z1D6
Q8NEY3	Q6DNI1
Q8NEZ2	Q6TH08
Q8NEZ3	A0A8M9Q0I2
Q8NEZ5	Q5SPK4
Q8NF50	F1QJ79
Q8NF64	A0A8M2B1Q3
Q8NF91	A0A8M3AR55
Q8NFA0	A0A8N7T783
Q8NFC6	A0A8M3B8C2
Q8NFD2	B3DHM4
Q8NFD5	A0A8M2B773
Q8NFF5	Q68EH8
Q8NFG4	F1R3E5
Q8NFH3	Q6NYF4
Q8NFH4	Q6DHK2
Q8NFH5	Q6P6X9
Q8NFH8	A0A8M2B9B6
Q8NFI3	A1L251
Q8NFJ8	A0A8M1PC14
Q8NFJ9	A4QP86
Q8NFL0	Q8UWM4
Q8NFM7	Q8QHJ9
Q8NFN8	E7F1E4
Q8NFP4	A0A8M3AZH0
Q8NFP9	E7EZD1
Q8NFR3	Q1RLT2
Q8NFR9	A0A8M9QF23
Q8NFT2	A0A8M9PY20
Q8NFT6	A0A8N7UTA7
Q8NFT8	S4TYY2
Q8NFU1	A0A8N7TBM7
Q8NFU3	A0A8M9Q576
Q8NFU5	A1A5W8
Q8NFU7	F1R3C6
Q8NFV4	Q6DRD9
Q8NFW1	M5BFV8
Q8NFX7	Q6IQP2
Q8NFY4	A0A8M2BLA1
Q8NFY9	Q08CL3
Q8NFZ0	A0A8M3B1M6
Q8NFZ5	A0A8N7TE24
Q8NFZ8	A0A8M2B4F3
Q8NG08	A0A8M1PUI1
Q8NG11	Q0P407
Q8NG31	A0A8M3AY08
Q8NG41	A0A8M3AXJ0
Q8NG48	F1QRU0
Q8NG50	Q5U3G4
Q8NG66	A0A8M3AQY2
Q8NG68	F1QP95
Q8NHE4	Q504A1
Q8NHG7	X1WFU2
Q8NHG8	Q08CN9
Q8NHH1	Q08BJ4
Q8NHH9	A8KAZ3
Q8NHM5	A0A8M9Q6R7
Q8NHP6	A0A2R8QKX7
Q8NHP7	Q0P3U3
Q8NHP8	A2RV19
Q8NHQ1	A0A8M9P470
Q8NHQ8	Q7T398
Q8NHQ9	Q8JHJ2
Q8NHR7	Q5BJD2
Q8NHR9	A0A8M1P408
Q8NHS3	Q0VA82
Q8NHS9	A0A8M9QEX7
Q8NHU2	A0A8M6YU94
Q8NHU3	A0A8M1NT99
Q8NHV4	A0A8M2BA03
Q8NHV5	F1QJW0
Q8NHW3	A3KMR8
Q8NHW6	A0A286Y9F3
Q8NHX9	A0JMD4
Q8NHY2	A4QP94
Q8NHY3	A0A8M1RQY9
Q8NHZ8	Q68EK9
Q8NI08	A0A8M6Z3G5
Q8NI22	Q5XJ39
Q8NI27	A0A8M2B3X8
Q8NI32	B0S8J0
Q8NI35	A0A8M2B8K6
Q8NI36	A0A8M1P741
Q8NI38	A0A8M9PK20
Q8NI60	Q5RGU1
Q8NI77	Q7ZUW9
Q8TA86	A0A0R4IJK4
Q8TAA3	Q6P0I2
Q8TAA5	E7F0C3
Q8TAA9	B0V210
Q8TAB3	A0A2R8QME5
Q8TAB5	A0A8M3B9G7
Q8TAC1	A0A8N7TAU5
Q8TAC2	Q803C0
Q8TAD2	Q5TKT1
Q8TAD4	Q6DG36
Q8TAD8	Q4V8W8
Q8TAE7	A0A8M9QJ67
Q8TAE8	A0A8M1PVC0
Q8TAG5	Q5CZM7
Q8TAG9	A0A8M9QME7
Q8TAK6	Q5QJR2
Q8TAM1	A0A286Y9A6
Q8TAM2	Q1RLX7
Q8TAP4	Q503U0
Q8TAP6	A7E2V1
Q8TAP8	Q0P427
Q8TAP9	B0V0W7
Q8TAQ2	A0A8M9Q5E9
Q8TAS1	Q08CD4
Q8TAT5	A0A8M2B3F3
Q8TAT6	Q7ZVI8
Q8TAU0	Q98871
Q8TAX0	Q5XJQ7
Q8TB22	A0A8M1QL85
Q8TB24	E7FC22
Q8TB36	Q78AN2
Q8TB37	Q6DH61
Q8TB40	A0A8M2BAQ5
Q8TB45	A0A8M2BKU4
Q8TB52	Q7SXZ3
Q8TB61	Q6P101
Q8TB68	E7EXZ8
Q8TB73	F1QPX0
Q8TB92	A8WG57
Q8TB96	E7F1C8
Q8TBA6	Q7SXE4
Q8TBB0	A0A8M1NYS7
Q8TBB1	A0A8M2B7L4
Q8TBB5	A0A0R4IHX2
Q8TBB6	B0UYF2
Q8TBC3	A0A8M1QHH8
Q8TBC4	Q7ZVX6
Q8TBE3	A0A8M2BDI9
Q8TBE9	Q502P8
Q8TBF2	Q6NV24
Q8TBF4	Q5SP50
Q8TBF5	A0A8M1NHF7
Q8TBG4	Q7SY54
Q8TBG9	A0A8N7TAS3
Q8TBH0	Q6TEM6
Q8TBJ4	Q6IQH6
Q8TBJ5	Q804Q5
Q8TBK2	Q803K4
Q8TBK6	F1QUQ1
Q8TBM7	Q7T380
Q8TBM8	A0JMH5
Q8TBN0	A0A8M9PH17
Q8TBP6	Q6DHC3
Q8TBQ9	Q5BJC2
Q8TBY0	Q08BH5
Q8TBY8	A0A8M6Z0A2
Q8TBZ0	A0A8M1Q7I8
Q8TBZ2	F8W2D0
Q8TBZ3	E7FA76
Q8TBZ6	E7FBE2
Q8TBZ9	A0A8M6Z1W2
Q8TC05	Q5RHU7
Q8TC07	A0A8M2B5M9
Q8TC29	A0A8M1P6E4
Q8TC41	A0A8M1NC36
Q8TC44	A2CEH0
Q8TC57	A4IG29
Q8TC59	A2CEI6
Q8TC71	Q503Q1
Q8TC76	Q4QRD7
Q8TC84	A0A8M1RRC4
Q8TC92	A0A8M3BCE4
Q8TCA0	A0A8M9QMF3
Q8TCB7	Q6NY40
Q8TCC3	Q502J9
Q8TCD6	A9JRB9
Q8TCF1	Q6DGC0
Q8TCG1	A9JSX6
Q8TCG2	Q49GP5
Q8TCJ0	A0A8M9PT00
Q8TCJ2	A0A8M1P4G3
Q8TCN5	E7F342
Q8TCS8	G5CTT5
Q8TCT0	A0A8M1NE99
Q8TCT1	Q6DBV4
Q8TCT6	Q5BP97
Q8TCT7	A0A8M1NA84
Q8TCT9	A0A8M2B8N4
Q8TCU5	A0A8M3AWH5
Q8TCU6	F1R6J2
Q8TCX1	Q7SXY4
Q8TCX5	A0A8M1RP49
Q8TCZ2	Q6DBW9
Q8TD08	A0A8M3AL82
Q8TD10	A0A0R4ITG1
Q8TD16	A0A8M3B5A4
Q8TD19	A0A8M9PLP7
Q8TD20	Q6NWF1
Q8TD22	F1R7K0
Q8TD26	A0A8N7T870
Q8TD30	A0A8M1NDP9
Q8TD31	A0A8N7TFF4
Q8TD55	A0A8M1RLX1
Q8TD57	A0A8M3ANU1
Q8TD84	A0A8M2B4A1
Q8TDB4	A0A8M3AS86
Q8TDB6	A0A8M1RM44
Q8TDD1	Q8JGR2
Q8TDD2	Q6U1J4
Q8TDF5	A0A8M9PGC0
Q8TDG4	F1Q4P2
Q8TDH9	Q4V9F5
Q8TDI0	A0A8M3AXS2
Q8TDJ6	U5U756
Q8TDN1	A3KQM6
Q8TDN4	A7YX81
Q8TDN6	A0A8M1NVZ7
Q8TDN7	Q568I2
Q8TDP1	E9QD20
Q8TDR0	Q6PGZ3
Q8TDV0	A0A8M3ASB1
Q8TDV5	A0A8M1PUJ3
Q8TDW0	A0A8M1P936
Q8TDW5	A0A8N7TAN5
Q8TDW7	A0A2R8QAL3
Q8TDX5	A4QP55
Q8TDX6	A0A8M1PU89
Q8TDX7	Q6DEH7
Q8TDX9	A0A8M9PXN6
Q8TDY2	E7FFM2
Q8TDY8	F1Q4R3
Q8TE02	A1A5V9
Q8TE04	A2RV28
Q8TE49	A0A8M1RPC9
Q8TE56	A0A8M9QHG7
Q8TE57	E7FFX0
Q8TE60	E7FEJ5
Q8TE73	A0A8M9PDG5
Q8TE82	A0A8M2BE07
Q8TE99	Q6DH46
Q8TEA1	A0A0R4IAT4
Q8TEA7	E7F1V3
Q8TEA8	F1QGC8
Q8TEB1	Q499B0
Q8TEB7	Q6NX00
Q8TEB9	Q568J3
Q8TED0	Q7ZW33
Q8TED1	Q7ZV14
Q8TED4	Q7SY29
Q8TEH3	A0A8M2B8E1
Q8TEK3	A0A8M2BHW6
Q8TEM1	F1QC46
Q8TEP8	A0A8M3AQD1
Q8TEQ0	E7EYK3
Q8TEQ6	A0A8M1Q7H4
Q8TEQ8	A0A8N7TDE4
Q8TER0	E7F2S5
Q8TES7	A0A8M9PNU4
Q8TEU7	A0A8M6Z3X1
Q8TEV9	E7FA21
Q8TEW0	A0A8M6YY70
Q8TEW6	E7F0P2
Q8TEX9	A0A8N7T6F8
Q8TEY5	A0A8M9PMP4
Q8TEY7	A5PMR2
Q8TEZ7	Q801G2
Q8TF01	A4IG17
Q8TF05	Q7ZUL5
Q8TF09	A0A8M1P1P5
Q8TF17	A0A8M2BKM4
Q8TF21	A0A8M9PSG1
Q8TF30	A0A8M9PQE9
Q8TF40	A0A8M1NHL9
Q8TF46	A2RV18
Q8TF61	A0A8N7UTD0
Q8TF64	Q1ECV5
Q8TF66	A1L1S0
Q8TF71	A1L1W9
Q8TF74	Q6IR48
Q8TF76	A0A8M6YZ20
Q8WTR2	Q6NTA7
Q8WTS1	A0A8M2B4Q8
Q8WTS6	Q6DHG0
Q8WTT2	Q6DRN3
Q8WTU2	A0A8M9QEF2
Q8WTV0	A0A8M6Z8R4
Q8WTV1	Q58EG0
Q8WTW3	A0A8M1RH56
Q8WTW4	Q0P403
Q8WTX7	Q58ER9
Q8WTX9	E7F4Z4
Q8WU10	Q6PBT5
Q8WU17	B1H1M0
Q8WU20	A0A8M6Z5Y5
Q8WU58	E7F6C1
Q8WU67	Q66HU2
Q8WU76	Q5BLD9
Q8WU79	Q1LXU3
Q8WU90	Q803J8
Q8WUA2	A5PM92
Q8WUA4	F1R215
Q8WUA8	Q58A48
Q8WUB2	A0A8M6YV54
Q8WUB8	Q6NWE1
Q8WUD4	Q6DC23
Q8WUF5	Q1L9A3
Q8WUF8	Q7T297
Q8WUG5	A0A8M1REG0
Q8WUH1	Q5U3N7
Q8WUH2	A4IG72
Q8WUH6	Q7T352
Q8WUI4	A0A8M9PX70
Q8WUJ0	Q503G4
Q8WUJ1	A2CES0
Q8WUJ3	A0A8M9Q254
Q8WUK0	A1L293
Q8WUM0	F1QNV4
Q8WUM4	A0A8M2B6D5
Q8WUM9	Q6PFM1
Q8WUN7	Q6DG43
Q8WUP2	Q08B86
Q8WUQ7	F1Q8W0
Q8WUR7	X1WD69
Q8WUS8	A8DZE7
Q8WUT9	Q5U3V7
Q8WUU5	Q1L8G7
Q8WUU8	A0A8M2BJ99
Q8WUW1	Q6IQ86
Q8WUX2	Q4KMJ1
Q8WUX9	Q6PBQ2
Q8WUY1	B0JZP3
Q8WUY3	A8KB36
Q8WUY8	Q0P4A4
Q8WUY9	A0A8M1RMV8
Q8WV07	A4FVI3
Q8WV19	Q7T375
Q8WV22	Q6DGT7
Q8WV24	Q5XJ33
Q8WV28	A0A8M6Z948
Q8WV41	B5RHZ3
Q8WV60	Q566X6
Q8WV74	A0A8M9QPZ0
Q8WV92	Q7ZV91
Q8WV93	X1WDT8
Q8WV99	Q7SXI4
Q8WVB3	A0A8M2BB54
Q8WVB6	A0A8M1NEK2
Q8WVC0	Q6NYV9
Q8WVC6	Q0P4C4
Q8WVD5	Q6IV56
Q8WVE7	A3KPL7
Q8WVF1	A0A0G2L033
Q8WVF2	Q6NWB6
Q8WVF5	Q6GMI6
Q8WVI0	E7FFR8
Q8WVI7	Q6DGR9
Q8WVJ2	Q6DC89
Q8WVK2	Q6DH74
Q8WVK7	Q0P426
Q8WVL7	F1RCG8
Q8WVM0	A0A8M9P924
Q8WVM8	Q8AUT3
Q8WVP5	Q7SZE8
Q8WVP7	A0A8M2BDY2
Q8WVQ1	Q6NUZ5
Q8WVR3	E7F240
Q8WVS4	A0A8M1RKA7
Q8WVT3	F1RE04
Q8WVV4	A0A2R8PYS8
Q8WVX9	A0A8M2BLL5
Q8WW01	A5WV68
Q8WW24	A0A8M1NTB8
Q8WW35	F1QMY1
Q8WW38	F1R4T3
Q8WW52	A5PN38
Q8WW59	Q6DGK7
Q8WW62	A0A8M2BA93
Q8WWB5	Q5PRB3
Q8WWB7	Q66HW4
Q8WWC4	Q32LQ2
Q8WWF8	A0A8M1N594
Q8WWG9	Q1LVA7
Q8WWH4	Q7ZUY1
Q8WWH5	B3DHG0
Q8WWI5	A0A8M9QGI9
