A0PK11	A0A2I3RH01
P62826	A0A2I3T0W7
Q8N5D6	A0A2I3T876
P60201	A0A2I3TFD7
Q9NZV1	A0A2I3TLF5
Q9GZZ0	A0A2I3TLS1
Q9H4M9	A0A2I3TMR7
Q96IU2	A0A2I3TQ81
Q13342	A0A2I3TUL5
P60002	A0A2I3TW88
Q504T8	A0A2J8J273
Q8N5S1	A0A2J8JRP8
Q8WY07	A0A2J8L3H9
P0C6T2	A0A2J8NKY7
P54107	A0A2J8P0V3
Q07617	A0A2J8PME6
O00255	A0A2J8QCL8
Q7LDG7	A0A2J8QCM9
Q8WXK1	A0A2J8QX46
Q96FV0	G2HES2
Q93096	G2HHZ1
Q86U90	H2PYP8
Q9HBG7	H2Q0F1
Q96RD7	H2Q4K2
Q9NPH9	H2Q6F4
Q9Y2S2	H2Q793
Q9UK53	H2Q7T1
Q8N8V4	H2QAQ3
Q9GZX9	H2QE88
Q16674	H2QGD3
Q7Z404	H2QH37
Q7Z340	H2QHA7
Q9H6R7	H2QHI5
O75874	H2QJB5
Q9NVE5	H2QJN0
Q9UKK6	H2QK26
O43156	H2QKB8
O60318	H2QL61
Q9NRR1	H2QP59
Q8N1A6	H2QQ61
P29460	H2QRX3
P48634	H2QSN1
Q6UXN2	H2QSZ2
Q5T3U5	H2QT25
P24046	H2QTE3
Q92556	H2QUF7
Q9NP87	H2QUI0
P35250	H2QUR2
Q9UDV7	H2QVL1
Q9Y2K6	H2QY13
Q86UP3	H2QZV3
O75400	H2R0E8
Q96GZ6	H2R1K4
O94864	H2R3Q1
P17482	H2R461
O43524	H2R710
Q8N9L9	H2R994
P46059	H2RA14
A1L1A6	H2RBG0
P50549	H2RDI8
Q8N9N8	H2REF5
P0C1H6	H2RF93
P21453	H2RIN7
Q8NCL4	K6ZCD8
Q8N3U4	K7ACZ5
Q6P1N9	K7D1I7
O95167	Q0MQ96
O14773	Q5IS74
Q96HA4	A0A2I3RGK5
Q9ULU4	A0A2I3RRU7
Q6IE81	A0A2I3RU03
Q9BRT3	A0A2I3S0W9
P31040	A0A2I3S2N1
Q6ZN44	A0A2I3SB57
Q96J66	A0A2I3SB69
Q96T49	A0A2I3SC54
P24855	A0A2I3SCF8
P45844	A0A2I3SE55
P0C5Y4	A0A2I3SMK8
Q99929	A0A2I3SUX4
Q8WWG1	A0A2I3SVT0
Q13495	A0A2I3SXC0
P23497	A0A2I3T041
Q9UII5	A0A2I3TBH6
Q8WVB6	A0A2I3TIN2
P61513	A0A2I3TW24
Q5SRE7	A0A2I3TWI1
Q86WG3	A0A2J8JQT7
Q96T75	A0A2J8M7T1
Q8IYD9	A0A2J8NDY8
Q92823	A0A2J8QXV5
Q9Y2Y0	G2HEY9
Q9Y547	H2PZ28
Q92733	H2Q0A4
Q9BTA9	H2Q1S2
P04181	H2Q2Q6
Q15699	H2Q6K1
Q6PCB6	H2Q9X9
P51511	H2QB81
P15559	H2QBF4
Q15818	H2QE15
Q86TB3	H2QEL1
Q9HBI6	H2QFN3
P10073	H2QHB7
Q8WWT9	H2QKI6
Q9Y508	H2QKK0
Q96GD0	H2QLM4
O95502	H2QLP3
O95936	H2QM79
Q9UKA1	H2QP88
Q8TED1	H2QQW7
Q3KP44	H2QQX6
Q96HQ2	H2QRH9
Q13308	H2QT20
P07205	H2QT58
P29972	H2QUD6
O95859	H2QVA0
Q8N434	H2QVG3
P01210	H2QW70
Q96A56	H2QWG1
Q969X2	H2QXY1
P78562	H2QYE4
Q9NP60	H2QYY8
Q6DT37	H2R2M9
Q96PF1	H2R325
Q5H9E4	H2R4M2
Q6ZV70	H2R4S0
Q8WX39	H2R627
Q99584	H2R8L4
Q6IN84	H2R9M4
Q6UXU4	H2RAA1
Q5MAI5	H2RCW6
H7C350	H2REN4
P38936	H2RFJ9
P98066	K7A7P4
O75781	K7AJD7
Q13362	K7B8S9
Q96E35	K7BIS0
P48681	K7CIK9
P37840	P61145
Q9H999	A0A2I3RH50
Q2M3V2	A0A2I3RRQ9
Q9H8Y1	A0A2I3RXS8
O15016	A0A2I3SA96
Q8WYP5	A0A2I3SBH8
Q9UIF7	A0A2I3SBR1
Q9NZL6	A0A2I3SDF2
Q5T481	A0A2I3SH04
P0CF74	A0A2I3SIV4
Q9BX79	A0A2I3SS31
P09497	A0A2I3SW32
Q8N4C6	A0A2I3T081
Q9P2H5	A0A2I3T9K4
Q9C0C7	A0A2I3TB21
P14174	A0A2I3TNA2
Q03001	A0A2I3TNJ7
Q8NG85	A0A2J8KNU9
P31645	A0A2J8LIN5
Q96N95	A0A2J8MM58
Q15776	A2T736
Q9BUG6	G2HHE8
Q6PXP3	H2PXY4
P09758	H2PZ48
O15156	H2Q062
Q9NRR5	H2Q089
Q8NGW6	H2Q0C3
Q8WWA0	H2Q0F2
Q13617	H2Q1T3
Q76NI1	H2Q2T3
Q6PF15	H2Q4F1
A6NIM6	H2Q5J6
Q96QD8	H2Q5R9
Q96MF2	H2Q6B0
Q5VYS4	H2Q7D7
Q8IZP6	H2Q7R0
Q9BX97	H2QFR0
P56470	H2QG91
Q9NZQ0	H2QHJ6
Q86WW8	H2QIE5
P20929	H2QIU0
P49759	H2QJ82
Q4G0W2	H2QJQ7
Q9NRE2	H2QKL2
Q2VPJ9	H2QLE0
Q16644	H2QMP5
P62633	H2QNB9
Q8TC71	H2QPG5
Q8N8Q8	H2QPM7
Q96QP1	H2QQ20
Q9NQ30	H2QQW3
Q969M3	H2QRP8
P52790	H2QS32
Q14749	H2QT12
Q5TCS8	H2QTJ3
Q96EK7	H2QU27
Q96HP8	H2QVM1
O00300	H2QWM3
Q9H329	H2QXN9
Q9BXS0	H2R037
Q9UBM7	H2R2E7
P56704	H2R817
Q5JXA9	H2R962
Q10588	H2RAA9
Q6EMK4	H2RAE0
O75923	H2RB92
Q6N063	H2RDY4
Q96QR1	H2RF19
Q96QR8	H2RGZ5
A6NDG6	H2RI35
Q9HAN9	K7BBC4
O95372	K7BJ39
P42224	K7BS59
Q7Z7A3	K7BZI1
Q96SQ7	K7C0J0
Q8N2M8	K7C5P8
Q9HC36	K7CMU7
Q659C4	K7CU93
Q13415	K7DL03
Q9GZZ1	K7DL89
Q92618	K7DTM3
O75251	Q0MQI0
Q9Y5E9	Q5DRD5
Q99661	A0A2I3RAF8
A0PJK1	A0A2I3RGZ4
Q9UHW5	A0A2I3RI42
Q14324	A0A2I3RQG6
Q9UHG0	A0A2I3RSW6
Q9H9P2	A0A2I3RYF8
P40925	A0A2I3RZV0
P40197	A0A2I3S1G1
P60014	A0A2I3SD56
P26232	A0A2I3SFT2
Q9Y219	A0A2I3SG43
Q96JB3	A0A2I3SMQ8
Q53ET0	A0A2I3SSI3
Q52LC2	A0A2I3SWX1
P50336	A0A2I3SYH2
Q8NCS7	A0A2I3T473
O15460	A0A2I3TIN5
Q92777	A0A2I3TNF5
Q8IXW0	A0A2I3TQZ6
Q96CP6	A0A2I3TR24
A0A1B0GTC6	A0A2I3TRR8
Q5U4P2	A0A2J8ISQ0
Q9BYG8	A0A2J8KF89
Q9BVV2	A0A2J8KN61
Q9BYF1	A0A2J8KU96
Q8NH72	A0A2J8LBZ0
Q6ZUI0	A0A2J8M654
P23975	A0A2J8MWT0
Q86UU1	A0A2J8N2J4
Q8TF62	A0A2J8NT20
Q9NTK5	G2HGE5
Q9BXS5	G2HJF4
Q8TDD5	H2PZB2
O75618	H2Q0F9
Q9BXR6	H2Q0U2
Q6UX71	H2Q1P9
Q9Y2G1	H2Q3U5
O43427	H2Q447
Q9HCU9	H2Q464
P22466	H2Q4A2
P22692	H2QCW6
P53680	H2QGN6
Q9BXT2	H2QH32
P50991	H2QHY8
P31249	H2QJ13
Q92765	H2QJ36
Q8NI51	H2QKN0
Q14050	H2QKR5
P55854	H2QL52
Q6UXB0	H2QNV5
P49619	H2QNW8
Q6NUS8	H2QQR8
Q12988	H2QQW1
Q9C029	H2QS69
P82664	H2QT04
Q9Y450	H2QTS4
P04201	H2QU00
Q9H2X6	H2QVH2
Q96MG8	H2QW55
Q15543	H2QZD7
P49662	H2R132
O60911	H2R163
Q6UW10	H2R343
P07510	H2R3V0
Q86VQ3	H2R6V2
Q8IZK6	H2R8X9
Q96C19	K7BEJ8
P56705	K7BKB4
Q49B96	K7BZH2
Q5T9L3	K7C6F2
Q9BV44	K7DSE5
Q9Y2G5	Q6EV56
P03886	Q9T9W3
Q5TCQ9	A0A2I3RKB9
A0A0A6YYK6	A0A2I3RMN8
Q7Z4H9	A0A2I3RN16
Q8IYM2	A0A2I3RZK1
P08686	A0A2I3S365
Q8N7Y1	A0A2I3SE51
O14520	A0A2I3SHZ5
P16083	A0A2I3SP71
A0A286YF58	A0A2I3SUI2
A2RU54	A0A2I3T571
A0A0U1RR37	A0A2I3TF92
A0A0U1RRK4	A0A2I3TN65
Q8TCT7	A0A2I3TPT2
P08118	A0A2J8ILT1
Q86YL5	A0A2J8JDF9
Q9GZU5	A0A2J8JDT1
Q8N9F8	A0A2J8JTW2
Q8N2Q7	A0A2J8L771
Q969I3	A0A2J8LCH4
Q6P9B6	A0A2J8LES0
Q9HCJ2	A0A2J8LHU0
Q70IA8	A0A2J8M0I9
Q6U736	A0A2J8P0S9
Q6P5X5	A0A2J8Q272
P04083	A5A6M2
Q96IK5	G2HGG1
Q99624	G2HI49
P54577	H2PYL0
Q8WW52	H2PZ35
P31415	H2Q0E1
O75379	H2Q0L8
Q5T8D3	H2Q1R8
Q03468	H2Q1W1
Q9H340	H2Q2Z6
Q75V66	H2Q3B1
Q3SYC2	H2Q4F4
Q9H8H3	H2Q5X3
Q9P2P6	H2Q998
Q00796	H2Q9C4
O94788	H2Q9I2
Q9NV31	H2Q9U5
O76099	H2QFL0
O15446	H2QGL6
O76036	H2QH47
Q86TG1	H2QI98
Q9NR80	H2QIQ7
Q9HBM1	H2QIX6
Q8IUB2	H2QKG7
Q6PGQ1	H2QLC4
O94889	H2QMI0
Q8NBI6	H2QP04
Q9H720	H2QPG1
Q3KNW5	H2QPU4
Q9Y603	H2QSW4
Q6P444	H2QTS8
Q9BZW2	H2QVA6
Q9H8G2	H2QX33
Q86WR0	H2QZF2
Q6ZNB5	H2R0V5
Q5W111	H2R1A5
Q96JB2	H2R3Z6
Q96IZ5	H2R4L8
Q8IV53	H2R6F4
Q8N228	H2R712
Q96FE5	H2R891
Q2T9L4	H2R8A1
B6A8C7	H2RHQ7
Q5TEA3	K6ZE24
Q9H0R1	K7A6X0
P51828	K7ADQ0
O00506	K7APK1
P15408	K7B2D4
Q9UHV2	K7BK65
P50747	K7CJS3
Q92611	K7CL54
Q8N5F7	K7CNN0
Q5PRF9	K7DRE0
O14804	Q5QD28
Q9BZA5	Q6GVM5
Q96RR4	A0A2I3RD10
O75362	A0A2I3RFT4
Q9HCT0	A0A2I3RM59
P10155	A0A2I3RSL6
Q9BWQ6	A0A2I3RTK1
Q6ZVN7	A0A2I3S7I9
P50613	A0A2I3S9X0
Q5HY98	A0A2I3SCW0
Q4G0S7	A0A2I3SGN3
P14735	A0A2I3ST00
L0R819	A0A2I3SWK7
C9JXX5	A0A2I3T3H1
Q5T5U3	A0A2I3TB24
Q96AP4	A0A2I3TFR6
Q6PJQ5	A0A2I3TI62
Q92914	A0A2I3TKJ6
Q9UH36	A0A2I3TQV8
Q6ZNQ3	A0A2I3TVL7
Q9BYE9	A0A2J8J5W6
P63261	A0A2J8JGA1
Q8WXI3	A0A2J8JZA0
Q8IUR5	A0A2J8K367
Q9Y271	A0A2J8KJZ4
Q7L1I2	A0A2J8L6M7
Q96NG5	A0A2J8LWV6
Q8NGM9	A0A2J8N1T6
P15692	A0A2J8P0D4
Q9UMX9	A0A2J8Q9G7
Q6IA86	G2HE55
Q969L4	H2PYN4
P40424	H2Q0I1
O60883	H2Q0W6
P24752	H2Q4P9
Q9NPF7	H2Q687
A2A2V5	H2Q7F4
Q9UKP4	H2Q9W9
P80365	H2QBB5
Q5BJF2	H2QCG8
Q9Y6X0	H2QEG8
Q96PE6	H2QH25
P68106	H2QHI6
Q14397	H2QHN5
P23526	H2QK78
Q9H845	H2QNB4
P30876	H2QPI8
P19838	H2QPY8
Q8IY84	H2QQU4
O96007	H2QQV7
Q9HCX4	H2QRJ4
Q96H15	H2QRV8
P16403	H2QSF7
Q9NU63	H2QSL6
P84085	H2QVB1
P48052	H2QVD5
Q96CF2	H2QWC8
P0DN81	H2QX93
P62701	H2QYT0
Q71SY5	H2QZR8
Q96PZ2	H2R392
Q9UIQ6	H2R5H3
P80188	H2R697
Q15070	H2R9F7
Q86VY4	H2R9R7
Q9BVM4	H2RA08
Q15582	H2RC92
Q4G148	H2RCX7
O43318	H2RCY2
Q9H3A6	H2REZ9
Q8N2X6	H2RG58
Q9NWH2	K7A2M0
Q9H0B8	K7A8K8
Q14728	K7B5R7
O75689	K7BXR8
Q9BVQ7	K7C1G6
Q9UHV7	K7D312
Q9UPV0	K7D7G7
P04554	P35300
Q15672	Q8MI03
Q96KN2	A0A2I3RCE2
Q17RF5	A0A2I3RE28
P0C623	A0A2I3RJ41
Q8TAF8	A0A2I3RP07
I1YAP6	A0A2I3RSG5
Q8NHJ6	A0A2I3S2H8
Q9NRC6	A0A2I3SGC9
Q86XP1	A0A2I3SK20
Q9HD89	A0A2I3SMC1
A0A075B6K4	A0A2I3SNA4
Q96N16	A0A2I3SST9
P22749	A0A2I3STZ0
P54819	A0A2I3SVF7
Q86UE3	A0A2I3SZM0
Q9H161	A0A2I3T249
O14617	A0A2I3T5D5
Q92614	A0A2I3TBT4
Q8IUK8	A0A2J8KWJ3
Q13075	A0A2J8L0U1
Q5U623	A0A2J8L9Y4
Q9BRC7	A0A2J8NGK2
Q8TDU6	A0A2J8NGQ7
P20916	A0A2J8QHD3
A4D0T7	A0A2J8QXM7
P14653	A2T6Z0
O75636	H2PYF4
P34820	H2PYR2
P18850	H2Q0H3
O14815	H2Q1B8
Q8IWW6	H2Q1S9
Q9BQ13	H2Q4G9
Q9Y210	H2Q4M0
O60285	H2Q6S1
Q9Y619	H2Q7G6
O75182	H2Q9U2
O94778	H2QAT2
Q9P0M4	H2QBP9
P04637	H2QC53
Q96CK0	H2QFE2
Q86XF7	H2QGH7
Q9NY97	H2QHZ0
Q6IQ16	H2QIS3
Q4AE62	H2QIS8
Q14118	H2QML8
Q06190	H2QNF3
O15042	H2QNJ0
O95487	H2QQ07
P62312	H2QQ91
P25929	H2QQD5
O00628	H2QTT0
Q6IS24	H2QUN9
Q96BY9	H2QVZ5
Q99445	H2QWT2
Q92966	H2R1P5
Q9UKT7	H2R286
Q8NFW5	H2R4D6
Q9C0I4	H2R6I9
Q14416	H2R892
Q7L7L0	H2R8P7
Q86WD7	H2R974
Q6UWJ8	H2R9A8
Q9H2H0	H2RBC2
Q96NL3	H2RD43
Q8IVF5	H2RD87
Q9NPC1	H2RDU2
Q68DN1	H2RE71
Q9BQW3	H2REE3
P67809	H2REF1
P0CJ72	H2RG77
Q9UH65	K7A814
Q6P1X6	K7A889
Q01433	K7AWZ3
Q9NRG0	K7BZI3
P05408	K7C9U9
P36956	K7CIC8
Q96KC8	K7DEF3
Q8N5R6	A0A2I3RBE0
Q53HI1	A0A2I3RDF3
Q96GE5	A0A2I3RRC5
Q641Q2	A0A2I3RTK3
Q86YD3	A0A2I3S0K2
Q5T9S5	A0A2I3S6V0
O95263	A0A2I3SCR9
P0C024	A0A2I3SD34
P0DV77	A0A2I3SFN5
Q9NYC9	A0A2I3SIS1
Q58FF8	A0A2I3SK69
Q9BS92	A0A2I3SV03
Q9BZK3	A0A2I3SXQ3
O60447	A0A2I3TC91
P13473	A0A2I3THA2
Q8WVS4	A0A2I3TK63
Q5T1R4	A0A2I3TXB5
Q3KR16	A0A2J8JF15
Q15562	A0A2J8K2K7
Q9UKB5	A0A2J8K939
Q6IB77	A0A2J8LCH7
P30536	A0A2J8LMS5
Q14894	A0A2J8Q5Z8
Q8IV01	A0A2J8QB49
Q7L985	A0A2J8QSP5
Q9GZL7	G2HF98
O75800	G2HJN8
Q9Y543	H2PXW9
P06239	H2PYK3
A6NKN8	H2Q0G7
Q96SD1	H2Q1N3
Q9NV23	H2Q1N4
Q15181	H2Q212
Q9UEF7	H2Q7E6
Q9NWB6	H2Q7S5
O15553	H2QAF9
Q96A37	H2QBQ3
Q9BRA0	H2QC58
O15444	H2QF78
Q96QH2	H2QF87
P20853	H2QGD5
O75493	H2QGS1
Q8WTR8	H2QGS2
Q9BSM1	H2QI67
Q8IUC1	H2QKY2
Q8N6F7	H2QN38
Q96LK0	H2QP13
P01133	H2QQ13
Q4G0J3	H2QQ23
Q6ZUX7	H2QR50
O95379	H2QRD4
P21580	H2QTT5
Q6PCB5	H2QUU1
P0CE71	H2QUZ5
Q8NGV5	H2QXM4
Q5JSZ5	H2QY26
Q6E213	H2QYQ9
Q5SY68	H2R1M2
P56645	H2R1W8
Q6UXB3	H2R224
Q96M11	H2R4W1
P07199	H2R5Y3
Q8NEG5	H2R6C1
P60606	H2R6E3
A2PYH4	H2RCF9
Q5MJ10	H2RCX4
P22234	H2RE07
O43708	H2RFT7
Q8TBE9	K7AI19
Q8WTS6	K7AK83
Q9H2G4	K7AQN7
Q92830	K7BGL2
Q02156	K7CBH8
Q9Y4Y9	K7CM58
P25490	K7DAI9
P50502	K7DEA4
P0CG48	P0CG64
Q03135	Q2QLF2
Q8IYS5	A0A2I3RTB0
A0A075B6T8	A0A2I3SJ90
P59510	A0A2I3SPX7
A0AV96	A0A2I3TBE2
Q9UHP7	A0A2I3TEQ0
Q8N0W4	A0A2J8JCX5
Q8IZT9	A0A2J8KUF7
Q8NGQ6	A0A2J8LCE8
Q8TE12	A0A2J8LM37
Q8N4M7	A0A2J8MNB7
A0A0B4J2F0	A0A2J8NSK2
Q4VC12	A0A2J8NUF6
Q6UY11	A0A2J8P076
P47914	A0A2J8P8I6
Q9UHD4	A0A2J8QKN4
P12694	A5A6H9
P42898	H2PY11
Q01851	H2PYI0
P29016	H2Q0B5
P11487	H2Q4B5
P55916	H2Q4D9
Q9BY78	H2Q4Y4
Q16378	H2Q5G2
Q9Y2V0	H2Q946
Q6S5L8	H2Q9E1
P47895	H2QA58
Q9H0I3	H2QB83
Q9NPB6	H2QBC2
Q15648	H2QCU3
Q96FM1	H2QCV0
Q92791	H2QD04
P09543	H2QD09
Q0VFZ6	H2QIY4
Q86WT1	H2QJ18
O94768	H2QJ65
O14734	H2QKH2
O60762	H2QKK7
P55283	H2QKP9
Q92871	H2QLS6
Q9NTG1	H2QLW4
Q5HYI8	H2QN65
Q6ZMR5	H2QPJ7
P10720	H2QPN4
Q0D2K0	H2QRW4
Q9H013	H2QRW5
Q9BRT2	H2QSU1
Q9UKA2	H2QTF8
Q15113	H2QV35
Q9NQW8	H2QWE1
O95257	H2QXF6
Q96FN5	H2QXR1
P51151	H2QYA8
Q9UKZ4	H2QZ34
A0A024RCN7	H2QZW7
Q8TD23	H2R3I0
Q13501	H2R540
Q15109	H2R7G0
Q5TBA9	H2RA71
Q99500	H2RBL8
Q2TAC2	H2RBM8
A0A0U1RQG5	H2RI88
Q8NF37	K7AQZ3
Q8IUW5	K7B0E5
O60636	K7B995
Q08623	K7BK11
Q8N488	K7BS28
P42696	K7BU23
O76094	K7CCE7
O95602	K7CHZ0
Q99729	K7CPF8
Q16829	K7CSV8
Q9NZN1	P60029
Q9Y5F0	Q5DRD6
Q9H7L2	A0A0B4J2I6
O75334	A0A2I3RCK4
O00571	A0A2I3RHJ0
Q9ULV4	A0A2I3RIP1
Q9NSY0	A0A2I3RJS4
A6NHG4	A0A2I3RQA2
Q99626	A0A2I3RZR9
Q9Y5U8	A0A2I3S149
P35442	A0A2I3S3Q5
P31314	A0A2I3S4U4
Q8IYT4	A0A2I3S848
Q9NUQ6	A0A2I3SBQ5
O95834	A0A2I3SHM0
Q8NG11	A0A2I3SLK9
Q5HY92	A0A2I3SNC4
H3BU77	A0A2I3SQ28
Q9Y4C0	A0A2I3SSK4
Q495T6	A0A2I3SWA3
P47992	A0A2I3T6I9
A0A075B6N3	A0A2I3T9H8
Q07020	A0A2I3TG90
Q96MT3	A0A2I3TH70
O95258	A0A2J8JBD1
Q15911	A0A2J8K9T3
Q9ULJ8	A0A2J8L4B9
P30307	A0A2J8LR98
Q9UPW5	A0A2J8MRR1
Q07001	A0A2J8NEZ2
P50454	G2HFZ7
P55081	G2HG69
P09488	H2PZL3
O00165	H2Q052
Q14444	H2Q3E2
Q9Y6L6	H2Q5K6
Q96N23	H2Q6N6
Q92696	H2Q828
O14863	H2Q9D4
Q8WZ19	H2QAV9
O75947	H2QDU4
Q9H939	H2QEH1
Q9UK45	H2QEW6
Q9Y284	H2QFG1
P17035	H2QH15
Q9UHY1	H2QHN1
Q15061	H2QHP5
Q969H9	H2QJ45
Q9H3Z4	H2QKT6
Q03403	H2QL26
Q8IU80	H2QLL5
Q9BUL8	H2QNP4
Q7Z5U6	H2QP10
Q9NWY4	H2QQF1
P28562	H2QS06
Q9UMR5	H2QSQ9
Q969J5	H2QTT3
Q8TB36	H2QWB1
P09496	H2QX95
P41247	H2QY97
Q96P70	H2R0C2
Q9Y657	H2R0C5
Q5VTT5	H2R0Z0
Q6S8J7	H2R1F6
Q8NGK5	H2R1H6
Q92576	H2R1J9
O14936	H2R4R8
Q9NR97	H2R4T6
Q9HDC5	H2R9S6
Q9H8J5	H2RBH6
A8MZ97	H2RCA3
Q3LHN0	H2RHG7
Q8N465	K6Z916
Q8N612	K7ADU5
Q9BXP5	K7BA77
Q9H871	K7BHE8
Q6VMQ6	K7C3C9
Q6PI78	K7C6R4
Q9P0J7	K7CHG2
Q9NYW7	Q646H0
Q9Y5S8	A0A2I3RE96
P59074	A0A2I3REE0
Q14409	A0A2I3RI51
Q86TB9	A0A2I3RIF4
O75077	A0A2I3RSI1
O75170	A0A2I3RZ92
Q86U86	A0A2I3S6I9
F5H4B4	A0A2I3S894
O14713	A0A2I3SE63
P0CG23	A0A2I3SIN9
Q8WYA1	A0A2I3SVJ1
A0A1B0GWH6	A0A2I3T101
Q9Y663	A0A2I3TEJ9
Q8TBB5	A0A2I3TTM8
C9J7I0	A0A2I3TU75
P08247	A0A2J8IMY8
Q8IYX0	A0A2J8J7H8
Q86VV4	A0A2J8JS79
Q9Y5J5	A0A2J8KHR4
Q8NGI9	A0A2J8LCM9
P18509	A0A2J8MP94
Q5R3F8	A0A2J8QPQ4
Q8N9I0	A0A2J8QWL9
P98160	H2PY96
Q2M3M2	H2PZ00
Q5VSL9	H2PZL9
Q13907	H2Q1J2
Q9H6R6	H2Q2K7
Q9HB21	H2Q2P8
Q96M02	H2Q2R6
Q9BSF8	H2Q374
Q04609	H2Q3K5
Q6UWV2	H2Q4V7
Q86V85	H2Q7P9
O43278	H2Q972
O60844	H2QAV3
Q9Y5R8	H2QC63
Q9BZE9	H2QE39
O75821	H2QFB0
P31153	H2QI93
Q96G21	H2QIQ2
Q9Y2B4	H2QKF5
O60784	H2QLK0
Q5TIA1	H2QLS8
Q04912	H2QMM8
Q66GS9	H2QPI2
Q9NYY3	H2QQY0
Q96G30	H2QTC5
Q86WC4	H2QTI1
Q9Y4A8	H2QUA7
O96001	H2QUE2
Q9BUN8	H2QWN4
Q92482	H2QX53
Q8N4T4	H2QX85
O75487	H2QZ47
O75995	H2R020
P34972	H2R2G3
Q3YBR2	H2R4W7
P31271	H2R5F8
Q16568	H2R5L6
Q13939	H2R6P2
Q69YU5	H2R758
Q69YW2	H2R823
Q8NFQ8	H2R8D6
Q5UAW9	H2R9I7
Q8TD08	H2R9M7
Q9UMX3	H2REG3
Q8N3A8	K6ZKD0
Q8N8A2	K7AJN6
Q3B7T3	K7ALL9
P52907	K7B0M6
Q13426	K7B5Q7
P49720	K7B7X6
Q8TC12	K7BJ49
P42892	K7BJM3
Q9H813	K7BJU7
Q96LZ7	K7BNY1
O75554	K7BPV3
Q92636	K7BWN5
Q9Y2G4	K7BXC2
Q8TEB7	K7C559
Q92626	K7D7S6
Q9Y2A7	K7DU78
P68871	P68873
Q9Y5I3	Q5DRF5
Q4AC94	A0A2I3RGJ3
P39023	A0A2I3RKD7
Q9NWW6	A0A2I3S0P0
Q9H6S3	A0A2I3S5T2
Q86UX2	A0A2I3SAG3
B7ZLF3	A0A2I3SLB1
Q96JF6	A0A2I3SSD6
Q5SZL2	A0A2I3SV85
Q86XR2	A0A2I3SY89
Q96RP9	A0A2I3T1A0
Q9NSI8	A0A2I3T2D9
Q01668	A0A2I3TS31
Q9H857	A0A2I3TTP8
A1L190	A0A2J8JBI7
Q6ZNH5	A0A2J8JM59
Q8IYJ3	A0A2J8JP02
A1L157	A0A2J8K337
Q9BZV2	A0A2J8NFH3
P15515	A0A2J8PF52
P49146	A0A2K6HM81
Q9H503	G2HFP8
P22732	G2HHR2
O60683	H2PXU8
Q7Z3B1	H2PZ85
P31512	H2Q0L6
Q9H1Y3	H2Q1F0
Q9BYE7	H2Q2I5
Q9H6A9	H2Q440
Q9Y3Q0	H2Q4J4
Q3C1V8	H2Q4Z9
Q9NVM9	H2Q5M6
P61011	H2Q862
Q9P219	H2Q8S5
Q6P4E1	H2Q9B8
Q9H3K6	H2QAW9
Q9GZP8	H2QG78
O14669	H2QGV6
A6NMB1	H2QGX2
Q9HCN4	H2QHN7
Q6P158	H2QHS5
P38435	H2QI94
O60894	H2QJP7
O15544	H2QNB1
P04843	H2QNB2
Q9NP92	H2QQU9
Q9H3R5	H2QR06
Q12766	H2QRS6
Q96KW2	H2QSI2
Q9BT09	H2QT11
Q5JVL4	H2QT67
Q9HBY0	H2QTY3
Q2WGJ6	H2QWP1
Q9NUQ9	H2QWQ4
Q15884	H2QXC1
Q5BKX8	H2QXL4
Q1ZZU3	H2QXY7
Q9BXU2	H2QYZ6
P46060	H2R2J5
Q8WWQ8	H2R759
A6NEM1	H2R7X2
P01911	H2RAS7
Q2KHR3	H2RBD1
Q9NNW7	H2RBU9
Q2MV58	H2RC39
A0A075B6S5	H2REY2
Q8N7S6	H2RF35
Q9BW85	K7AGR1
O15440	K7AN90
Q86WN1	K7B8F9
Q13322	K7BFT7
Q8WUA4	K7BN61
Q96B42	K7CFG0
Q96MV8	K7DF74
Q14CZ0	K7DPW2
P23560	Q5IS78
P22090	Q861U9
Q92529	A0A2I3RG08
Q9Y3B3	A0A2I3RGE1
Q13609	A0A2I3RHL6
Q9HC73	A0A2I3RL15
O43497	A0A2I3RMG7
Q9H0B6	A0A2I3RT41
Q9H900	A0A2I3S9W2
Q15025	A0A2I3SHK0
Q13740	A0A2I3SS10
Q7L014	A0A2I3SWS8
Q9Y2Z2	A0A2I3SYC8
Q9P1Y5	A0A2I3T0R6
P27701	A0A2I3TBN7
Q96D96	A0A2I3TDJ3
Q9NVL1	A0A2I3TEK7
Q6IV72	A0A2I3TJI2
P35716	A0A2I3TNT6
P01715	A0A2I3TUR2
Q8NEX6	A0A2J8MJZ4
Q92563	A0A2J8NUP4
Q15391	A0A2J8P2M1
Q6ICL3	A0A2J8Q2G5
Q6P1Q9	A0A2J8QWU4
Q96KK3	A4K2N8
Q9H3K2	H2Q265
P48509	H2Q2W1
Q96F05	H2Q499
Q9NX55	H2Q9B3
Q9UHA3	H2Q9G9
Q92521	H2Q9H1
Q13972	H2Q9X1
Q9UKX2	H2QC99
Q9BYR5	H2QCY1
Q92539	H2QE76
O75074	H2QG00
Q5BJH7	H2QG79
Q6NXR0	H2QGI1
P62140	H2QHP3
Q96P71	H2QK71
Q9UKC9	H2QM94
P34925	H2QNE9
P57088	H2QPD8
Q8N9B5	H2QR54
O75603	H2QSA8
Q96JS3	H2QSK0
Q9Y6H1	H2QUM2
Q9GZY6	H2QUR1
Q96EV2	H2QVN7
